epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.32036,3.65599,6.8983,0.06947,0,0,0,0,4.88561,4.52108,0.09027,0,0,0
2,2.04968,3.75897,6.20558,0.06304,0,0,0,0,4.90916,4.54208,0.0883,1.17822e-06,1.17822e-06,1.17822e-06
3,3.08528,4.71866,12.9491,0.1089,0,0,0,0,4.92783,4.56688,0.08646,2.33288e-06,2.33288e-06,2.33288e-06
4,3.81914,3.8427,8.06543,0.0689,0,0,0,0,4.93809,4.59673,0.08469,3.46397e-06,3.46397e-06,3.46397e-06
5,4.49114,3.68409,6.40966,0.05959,0,0,0,0,4.94147,4.58427,0.08409,4.5715e-06,4.5715e-06,4.5715e-06
6,5.15261,3.43886,7.16054,0.0652,0,0,0,0,4.93687,4.6023,0.08271,5.65548e-06,5.65548e-06,5.65548e-06
7,5.82107,3.65019,7.73691,0.09312,0,0,0,0,4.92838,4.61627,0.0815,6.71588e-06,6.71588e-06,6.71588e-06
8,6.49925,4.56184,10.2428,0.1234,0,0,0,0,4.9219,4.62368,0.08074,7.75273e-06,7.75273e-06,7.75273e-06
9,7.16273,4.07239,8.60493,0.08412,0,0,0,0,4.90813,4.63392,0.07971,8.76602e-06,8.76602e-06,8.76602e-06
10,8.02965,3.7434,7.00478,0.07552,0,0,0,0,4.90006,4.63713,0.0791,9.75574e-06,9.75574e-06,9.75574e-06
11,8.70966,3.55576,6.70295,0.0527,0,0,0,0,4.87645,4.65098,0.07788,1.07219e-05,1.07219e-05,1.07219e-05
12,9.38555,3.89703,7.47855,0.08478,0,0,0,0,4.87274,4.65536,0.07771,1.16645e-05,1.16645e-05,1.16645e-05
13,10.0559,4.68428,14.3273,0.15262,0,0,0,0,4.86078,4.66156,0.0772,1.25835e-05,1.25835e-05,1.25835e-05
14,10.7438,3.84151,7.52773,0.08369,0,0,0,0,4.86318,4.66304,0.07724,1.3479e-05,1.3479e-05,1.3479e-05
15,11.4159,3.25438,8.04679,0.06608,0,0,0,0,4.86454,4.66915,0.07722,1.43509e-05,1.43509e-05,1.43509e-05
16,12.09,3.51609,6.71773,0.05225,0,0,0,0,4.86555,4.66787,0.07738,1.51993e-05,1.51993e-05,1.51993e-05
17,12.963,3.6953,8.92671,0.08737,0,0,0,0,4.86803,4.66856,0.07755,1.60241e-05,1.60241e-05,1.60241e-05
18,13.622,4.04269,13.9277,0.09191,0,0,0,0,4.86803,4.66856,0.07755,1.68253e-05,1.68253e-05,1.68253e-05
19,14.3036,3.33709,8.12517,0.06867,0,0,0,0,4.84753,4.7241,0.07651,1.7603e-05,1.7603e-05,1.7603e-05
20,14.9275,3.54585,7.53487,0.0656,0,0,0,0,4.84753,4.7241,0.07651,1.83571e-05,1.83571e-05,1.83571e-05
21,15.6103,3.61059,7.79884,0.07156,0,0,0,0,4.81693,4.73985,0.07581,1.90876e-05,1.90876e-05,1.90876e-05
22,16.2561,3.33212,6.47404,0.04415,0,0,0,0,4.81693,4.73985,0.07581,1.97946e-05,1.97946e-05,1.97946e-05
23,16.9336,3.55828,7.41179,0.07432,0,0,0,0,4.75438,4.76161,0.07463,2.0478e-05,2.0478e-05,2.0478e-05
24,17.7881,3.7357,6.5048,0.0644,0,0,0,0,4.75438,4.76161,0.07463,2.11379e-05,2.11379e-05,2.11379e-05
25,18.4922,4.09933,8.91862,0.07461,0,0,0,0,4.68689,4.79998,0.07067,2.17741e-05,2.17741e-05,2.17741e-05
26,19.1338,4.05921,7.58418,0.07087,0,0,0,0,4.68689,4.79998,0.07067,2.23869e-05,2.23869e-05,2.23869e-05
27,19.8219,3.66562,7.38334,0.05662,0,0,0,0,4.65401,4.80775,0.07007,2.2976e-05,2.2976e-05,2.2976e-05
