epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.377,1.86153,1.67978,1.04041,0.76325,0.52487,0.58825,0.33246,1.60853,0.96835,0.94144,0.000999491,0.000999491,0.0910046
2,623.6,1.63128,0.99271,0.95587,0.83594,0.63022,0.70688,0.41727,1.49721,0.81572,0.91433,0.00199769,0.00199769,0.0820028
3,931.485,1.5454,0.87341,0.93187,0.85864,0.68567,0.75992,0.45857,1.41202,0.7409,0.89829,0.00299409,0.00299409,0.0729992
4,1239.62,1.50098,0.82377,0.91486,0.87755,0.70677,0.78139,0.48066,1.36683,0.70532,0.87758,0.00398869,0.00398869,0.0639938
5,1551.2,1.4741,0.79413,0.90274,0.89452,0.72503,0.80078,0.502,1.32781,0.66952,0.86657,0.00498149,0.00498149,0.0549866
6,1860.6,1.4258,0.74884,0.88911,0.89903,0.74322,0.81833,0.52178,1.28627,0.63602,0.85748,0.00597249,0.00597249,0.0459776
7,2170,1.42147,0.74208,0.88644,0.89955,0.75256,0.82582,0.52755,1.27422,0.62499,0.85484,0.00696169,0.00696169,0.0369668
8,2476.62,1.41897,0.73978,0.88577,0.89789,0.76015,0.82878,0.53151,1.26615,0.61837,0.8535,0.00794909,0.00794909,0.0279542
9,2790.41,1.42698,0.7442,0.88615,0.90086,0.76093,0.83244,0.53563,1.26111,0.61422,0.85289,0.00893469,0.00893469,0.0189398
10,3094.93,1.41924,0.74196,0.88609,0.90171,0.76407,0.83552,0.537,1.25882,0.61475,0.85351,0.00991849,0.00991849,0.00992359
11,3396.58,1.40791,0.73259,0.88352,0.90007,0.76382,0.83698,0.54005,1.25692,0.61935,0.85441,0.00991,0.00991,0.00991
12,3699.11,1.38133,0.71039,0.87789,0.90226,0.76169,0.83877,0.54233,1.25381,0.62298,0.85441,0.009901,0.009901,0.009901
13,4004.37,1.35914,0.69513,0.87441,0.90353,0.76153,0.83994,0.54416,1.25096,0.62621,0.8539,0.009892,0.009892,0.009892
14,4303.21,1.34126,0.68145,0.87004,0.90206,0.76131,0.84053,0.54579,1.2486,0.6286,0.85331,0.009883,0.009883,0.009883
15,4601.29,1.3272,0.67171,0.86788,0.90273,0.76026,0.84127,0.54749,1.24705,0.63157,0.85287,0.009874,0.009874,0.009874
16,4898.23,1.31256,0.66107,0.86456,0.90203,0.76094,0.84159,0.54891,1.24526,0.63412,0.85237,0.009865,0.009865,0.009865
17,5195.08,1.30762,0.65691,0.86351,0.90151,0.76074,0.84192,0.54994,1.24374,0.63676,0.85183,0.009856,0.009856,0.009856
18,5490.43,1.30169,0.65241,0.86308,0.89969,0.76099,0.84227,0.55102,1.24204,0.63848,0.85121,0.009847,0.009847,0.009847
19,5791.26,1.2919,0.64622,0.8612,0.90143,0.76054,0.84284,0.552,1.23982,0.6395,0.85062,0.009838,0.009838,0.009838
20,6089.28,1.28208,0.64027,0.85891,0.90155,0.76171,0.84377,0.5535,1.23732,0.63876,0.84985,0.009829,0.009829,0.009829
21,6393.03,1.27916,0.63804,0.85864,0.90127,0.76291,0.84485,0.55501,1.23482,0.63685,0.84911,0.00982,0.00982,0.00982
22,6694.93,1.275,0.63519,0.85773,0.90164,0.76513,0.84642,0.55622,1.23124,0.63363,0.84826,0.009811,0.009811,0.009811
23,6996.33,1.27132,0.63225,0.85598,0.90263,0.76812,0.84802,0.55781,1.22707,0.62882,0.84737,0.009802,0.009802,0.009802
24,7297.85,1.26436,0.63005,0.85601,0.9026,0.77091,0.84983,0.55967,1.22314,0.62351,0.84636,0.009793,0.009793,0.009793
25,7609.06,1.26095,0.62569,0.85448,0.9039,0.7732,0.85169,0.56154,1.21843,0.61683,0.84533,0.009784,0.009784,0.009784
26,7918.16,1.26138,0.62618,0.85463,0.90497,0.77609,0.85377,0.56357,1.21379,0.60993,0.84435,0.009775,0.009775,0.009775
27,8229.44,1.25469,0.62258,0.85403,0.90702,0.77908,0.85579,0.56547,1.20899,0.60299,0.8433,0.009766,0.009766,0.009766
28,8528.55,1.25471,0.62192,0.85311,0.90903,0.78178,0.85807,0.56755,1.20424,0.59605,0.84231,0.009757,0.009757,0.009757
29,8830.62,1.25214,0.62008,0.85296,0.9111,0.78478,0.86012,0.56955,1.19954,0.58972,0.84132,0.009748,0.009748,0.009748
30,9134.12,1.24729,0.61717,0.85254,0.91337,0.78734,0.86216,0.5715,1.19493,0.58347,0.8404,0.009739,0.009739,0.009739
31,9435.59,1.24289,0.6144,0.8517,0.91633,0.79017,0.86395,0.57354,1.19038,0.57751,0.83951,0.00973,0.00973,0.00973
32,9736.71,1.24322,0.61407,0.85219,0.91791,0.79261,0.86578,0.57546,1.18597,0.57217,0.83865,0.009721,0.009721,0.009721
33,10040.2,1.24022,0.61196,0.85103,0.91913,0.79548,0.86759,0.57736,1.18165,0.56706,0.8379,0.009712,0.009712,0.009712
