epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.983,1.86254,1.73992,1.01699,0.52459,0.53496,0.50859,0.27811,1.71047,1.34284,0.99566,0.00333083,0.00333083,0.00333083
2,599.009,1.6955,1.08089,0.95748,0.63358,0.54015,0.56558,0.33324,1.65172,1.10682,0.96673,0.00659819,0.00659819,0.00659819
3,870.414,1.70595,1.01087,0.95779,0.55748,0.48654,0.48935,0.25537,1.73645,1.13763,0.9967,0.00979955,0.00979955,0.00979955
4,1141.45,1.65965,0.94786,0.95033,0.51124,0.52098,0.52976,0.30036,1.60465,1.12479,0.96001,0.009703,0.009703,0.009703
5,1412.95,1.57779,0.86598,0.93225,0.60833,0.63944,0.61629,0.37421,1.56052,0.96614,0.95537,0.009604,0.009604,0.009604
6,1685.49,1.52819,0.82707,0.92117,0.72479,0.63484,0.65496,0.41882,1.49592,0.92928,0.93826,0.009505,0.009505,0.009505
7,1957.66,1.48696,0.79358,0.91414,0.77427,0.66743,0.69879,0.44835,1.49313,0.90585,0.93445,0.009406,0.009406,0.009406
8,2228.94,1.45956,0.77061,0.90791,0.84759,0.65886,0.68647,0.44114,1.46824,0.87955,0.92596,0.009307,0.009307,0.009307
9,2500.14,1.43732,0.75463,0.90407,0.87112,0.68007,0.72624,0.47253,1.43486,0.86059,0.91801,0.009208,0.009208,0.009208
10,2771.67,1.42118,0.74216,0.90059,0.8247,0.63637,0.70064,0.45736,1.42948,0.84425,0.91825,0.009109,0.009109,0.009109
11,3043.16,1.40615,0.7289,0.89727,0.79085,0.70833,0.72145,0.47466,1.41371,0.83751,0.91467,0.00901,0.00901,0.00901
12,3313.99,1.3904,0.72104,0.89402,0.70451,0.79572,0.75328,0.49625,1.41366,0.8252,0.91457,0.008911,0.008911,0.008911
13,3586.2,1.38213,0.71157,0.89271,0.80207,0.7839,0.79632,0.5392,1.38938,0.81366,0.90956,0.008812,0.008812,0.008812
14,3857.45,1.36899,0.70285,0.89051,0.81485,0.77711,0.79451,0.54042,1.38343,0.80578,0.90738,0.008713,0.008713,0.008713
15,4128.71,1.35825,0.69724,0.88891,0.8232,0.75436,0.77958,0.53366,1.37898,0.80125,0.90532,0.008614,0.008614,0.008614
16,4400.39,1.35253,0.69137,0.88716,0.74187,0.75964,0.77924,0.53597,1.36285,0.79178,0.90404,0.008515,0.008515,0.008515
17,4671.77,1.34806,0.68836,0.88594,0.82549,0.75831,0.79429,0.5451,1.36234,0.79295,0.90298,0.008416,0.008416,0.008416
18,4943.95,1.33558,0.68113,0.88363,0.8387,0.78555,0.8014,0.55247,1.35717,0.78814,0.90193,0.008317,0.008317,0.008317
19,5215.85,1.33295,0.67947,0.88335,0.84701,0.79323,0.80314,0.54966,1.3474,0.78203,0.90051,0.008218,0.008218,0.008218
20,5487.85,1.32442,0.67254,0.88095,0.85791,0.78366,0.79944,0.55182,1.3411,0.77749,0.89956,0.008119,0.008119,0.008119
21,5759.46,1.31922,0.66885,0.88111,0.81686,0.7717,0.7903,0.54233,1.33945,0.77536,0.89922,0.00802,0.00802,0.00802
22,6030.8,1.31597,0.66632,0.87926,0.78494,0.79319,0.79389,0.54584,1.3346,0.77317,0.89832,0.007921,0.007921,0.007921
23,6303.13,1.31069,0.66496,0.87842,0.81752,0.76302,0.79715,0.54771,1.32866,0.77027,0.89746,0.007822,0.007822,0.007822
24,6573.94,1.30843,0.66154,0.87886,0.82184,0.78164,0.80593,0.55572,1.32429,0.76811,0.89667,0.007723,0.007723,0.007723
25,6845.27,1.2982,0.65392,0.87777,0.82594,0.77637,0.81353,0.56012,1.32366,0.76649,0.8965,0.007624,0.007624,0.007624
26,7116.93,1.29998,0.6571,0.87744,0.81171,0.79685,0.8158,0.56149,1.3219,0.76441,0.89618,0.007525,0.007525,0.007525
27,7388.37,1.28954,0.64919,0.87469,0.80874,0.80478,0.81741,0.5617,1.32177,0.76313,0.8961,0.007426,0.007426,0.007426
28,7660.35,1.28515,0.64668,0.87493,0.83085,0.79691,0.82295,0.56782,1.31998,0.76177,0.89583,0.007327,0.007327,0.007327
29,7932.15,1.2803,0.64431,0.87438,0.83596,0.79581,0.8248,0.56885,1.31751,0.76052,0.89539,0.007228,0.007228,0.007228
30,8202.8,1.27634,0.64182,0.87287,0.83138,0.79495,0.82537,0.56925,1.31577,0.75812,0.89506,0.007129,0.007129,0.007129
31,8475.08,1.27471,0.64011,0.87253,0.79268,0.80617,0.82803,0.57235,1.31504,0.75609,0.89472,0.00703,0.00703,0.00703
32,8746.69,1.27011,0.6386,0.87145,0.78647,0.81039,0.82831,0.57317,1.31324,0.75528,0.89438,0.006931,0.006931,0.006931
33,9017.85,1.26816,0.63806,0.87237,0.79604,0.80812,0.82604,0.57079,1.31205,0.75382,0.89397,0.006832,0.006832,0.006832
34,9288.97,1.26209,0.63331,0.87,0.79328,0.80776,0.82582,0.57021,1.3117,0.75208,0.89368,0.006733,0.006733,0.006733
35,9559.09,1.2592,0.63135,0.86977,0.78504,0.81701,0.82862,0.57294,1.31052,0.75062,0.89345,0.006634,0.006634,0.006634
36,9830.12,1.25483,0.62882,0.86936,0.78824,0.83037,0.83594,0.5771,1.30897,0.74901,0.89328,0.006535,0.006535,0.006535
37,10100.9,1.25255,0.62724,0.86882,0.79179,0.8368,0.83663,0.57931,1.30784,0.74785,0.89306,0.006436,0.006436,0.006436
38,10373.4,1.25052,0.62562,0.86844,0.79369,0.83904,0.83618,0.58,1.30728,0.7464,0.89272,0.006337,0.006337,0.006337
39,10645.6,1.24769,0.62373,0.86787,0.79567,0.84018,0.83697,0.57752,1.30626,0.74531,0.89256,0.006238,0.006238,0.006238
40,10917.3,1.24125,0.62004,0.86668,0.79558,0.83894,0.83556,0.57925,1.3045,0.74399,0.89242,0.006139,0.006139,0.006139
41,11189.1,1.23775,0.61846,0.86571,0.79988,0.82491,0.83157,0.57483,1.30417,0.74301,0.8922,0.00604,0.00604,0.00604
42,11459.8,1.23406,0.617,0.86522,0.80343,0.81998,0.82794,0.57535,1.30245,0.74129,0.89198,0.005941,0.005941,0.005941
43,11731.1,1.23578,0.61629,0.86616,0.8066,0.81619,0.82809,0.57498,1.30199,0.74045,0.8917,0.005842,0.005842,0.005842
44,12002.6,1.22824,0.61316,0.86466,0.78416,0.84253,0.82721,0.57619,1.30047,0.73901,0.8915,0.005743,0.005743,0.005743
45,12273.3,1.22965,0.61335,0.86508,0.78375,0.84169,0.82553,0.57276,1.29879,0.73728,0.89119,0.005644,0.005644,0.005644
46,12544.6,1.22578,0.61131,0.86446,0.78773,0.82487,0.82353,0.57518,1.29658,0.73545,0.89091,0.005545,0.005545,0.005545
47,12816.4,1.22284,0.60939,0.86371,0.79753,0.818,0.82409,0.57648,1.29619,0.73427,0.8907,0.005446,0.005446,0.005446
48,13087.3,1.21691,0.60637,0.86341,0.78046,0.82505,0.82338,0.57621,1.29536,0.73374,0.89053,0.005347,0.005347,0.005347
49,13358.6,1.21721,0.60517,0.86322,0.76317,0.82974,0.82286,0.57683,1.29429,0.73237,0.89027,0.005248,0.005248,0.005248
50,13630.1,1.2142,0.60385,0.86269,0.76319,0.83013,0.81763,0.57259,1.29298,0.73077,0.88995,0.005149,0.005149,0.005149
51,13900.7,1.20852,0.60175,0.86192,0.76199,0.83165,0.81573,0.57411,1.29172,0.7298,0.88976,0.00505,0.00505,0.00505
52,14172.2,1.20704,0.59948,0.86131,0.76258,0.8304,0.81403,0.57323,1.28973,0.72796,0.8894,0.004951,0.004951,0.004951
53,14444.1,1.20247,0.59759,0.86098,0.75838,0.83162,0.8145,0.5742,1.28807,0.72729,0.88932,0.004852,0.004852,0.004852
54,14715.7,1.20292,0.59664,0.86024,0.75042,0.84358,0.81403,0.57418,1.28632,0.72738,0.88909,0.004753,0.004753,0.004753
