epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.761,1.71296,1.42166,0.98656,0.48706,0.54217,0.48778,0.26594,1.75835,1.15975,0.96992,0.00333083,0.00333083,0.0700225
2,430.522,1.51303,0.87661,0.91971,0.66638,0.63123,0.62591,0.38015,1.55514,0.99546,0.94071,0.00664417,0.00664417,0.0400025
3,620.953,1.49252,0.84081,0.91507,0.52917,0.53084,0.5114,0.27625,1.63186,1.1869,0.94748,0.00993751,0.00993751,0.00996254
4,811.373,1.45369,0.79951,0.90867,0.71982,0.58118,0.61748,0.36371,1.54311,0.96854,0.92948,0.00991,0.00991,0.00991
5,1001.73,1.36614,0.72209,0.89123,0.71647,0.65249,0.69988,0.42727,1.47757,0.89054,0.92383,0.00988,0.00988,0.00988
6,1192.84,1.31395,0.68138,0.88081,0.80654,0.70416,0.73492,0.46593,1.45141,0.85785,0.91092,0.00985,0.00985,0.00985
7,1382.63,1.2768,0.65382,0.8739,0.83522,0.64233,0.70544,0.44308,1.42393,0.83345,0.90662,0.00982,0.00982,0.00982
8,1573.39,1.24733,0.63485,0.8679,0.72838,0.67236,0.7244,0.46193,1.40115,0.81585,0.89675,0.00979,0.00979,0.00979
9,1764.32,1.22065,0.6158,0.86335,0.79442,0.74424,0.77261,0.50878,1.37278,0.79473,0.89444,0.00976,0.00976,0.00976
10,1954.82,1.20244,0.60464,0.85981,0.77095,0.73847,0.7704,0.49435,1.38157,0.77978,0.8987,0.00973,0.00973,0.00973
11,2145.88,1.18266,0.59253,0.85594,0.75882,0.80266,0.79804,0.50952,1.3687,0.77393,0.8928,0.0097,0.0097,0.0097
12,2337.59,1.16926,0.58442,0.85349,0.78258,0.76742,0.79959,0.51189,1.34575,0.76167,0.88994,0.00967,0.00967,0.00967
13,2528.52,1.15556,0.5762,0.85107,0.74563,0.78158,0.78522,0.50103,1.3479,0.75444,0.89077,0.00964,0.00964,0.00964
14,2719.48,1.14545,0.57042,0.84917,0.75567,0.80927,0.78288,0.50776,1.34011,0.74871,0.88687,0.00961,0.00961,0.00961
15,2910.22,1.13269,0.56283,0.84694,0.74097,0.81988,0.79169,0.51729,1.33475,0.74341,0.88778,0.00958,0.00958,0.00958
16,3101.07,1.12578,0.55879,0.84566,0.80917,0.74093,0.77642,0.511,1.32521,0.73736,0.88546,0.00955,0.00955,0.00955
17,3291.75,1.11376,0.55268,0.84373,0.80694,0.77386,0.78754,0.51349,1.32237,0.73647,0.88662,0.00952,0.00952,0.00952
18,3483.19,1.10452,0.54773,0.84203,0.75694,0.75688,0.76849,0.49726,1.31721,0.73589,0.88615,0.00949,0.00949,0.00949
19,3674.69,1.09913,0.54438,0.84093,0.79797,0.75956,0.79435,0.51466,1.31724,0.73199,0.88604,0.00946,0.00946,0.00946
