epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.614,1.85343,0.85055,1.045,0.54945,0.48632,0.46155,0.2558,1.70816,0.38705,1.03771,0.000998498,0.000998498,0.0910135
2,402.777,1.6104,0.42905,0.96867,0.70664,0.57279,0.61389,0.37523,1.61185,0.31639,0.99938,0.00198051,0.00198051,0.0819955
3,601.109,1.53815,0.36477,0.94402,0.71845,0.58236,0.59742,0.35848,1.63403,0.30431,0.99456,0.00294453,0.00294453,0.0729595
4,798.801,1.49621,0.33585,0.93069,0.68106,0.557,0.63065,0.3871,1.56929,0.28371,0.97621,0.00389054,0.00389054,0.0639056
5,996.285,1.46953,0.3148,0.91894,0.69003,0.56486,0.58553,0.35436,1.5789,0.29365,0.94896,0.00481855,0.00481855,0.0548336
6,1191.81,1.45993,0.3055,0.91033,0.78731,0.5546,0.58993,0.36544,1.53797,0.30729,0.94999,0.00572857,0.00572857,0.0457436
7,1388.52,1.4436,0.29976,0.90447,0.66915,0.70959,0.69281,0.44153,1.495,0.2701,0.92883,0.00662058,0.00662058,0.0366356
8,1581.07,1.43901,0.29596,0.90211,0.76077,0.62654,0.66244,0.41265,1.49801,0.2827,0.92283,0.00749459,0.00749459,0.0275096
9,1776.16,1.43198,0.29379,0.89944,0.60179,0.66243,0.61936,0.38041,1.47421,0.26874,0.92029,0.00835061,0.00835061,0.0183656
10,1972.3,1.43347,0.29068,0.89961,0.83106,0.6246,0.65828,0.41264,1.50134,0.29562,0.92194,0.00918862,0.00918862,0.00920364
11,2168.22,1.41814,0.28528,0.8965,0.7729,0.70105,0.71546,0.46,1.46301,0.25993,0.90818,0.0091,0.0091,0.0091
12,2363.16,1.3784,0.26989,0.88967,0.73805,0.73751,0.74964,0.50473,1.41358,0.24017,0.90517,0.00901,0.00901,0.00901
13,2556.87,1.35173,0.25967,0.88297,0.7904,0.72254,0.74875,0.50139,1.4034,0.23485,0.89802,0.00892,0.00892,0.00892
14,2749.98,1.32955,0.25333,0.8785,0.7354,0.77664,0.76841,0.52433,1.37032,0.22882,0.89112,0.00883,0.00883,0.00883
15,2942.77,1.31228,0.24684,0.87468,0.77415,0.82593,0.80684,0.54976,1.36481,0.22517,0.88863,0.00874,0.00874,0.00874
16,3136.51,1.29643,0.24326,0.8722,0.77265,0.77722,0.78661,0.53765,1.34765,0.22102,0.88733,0.00865,0.00865,0.00865
17,3329.97,1.28827,0.23915,0.86958,0.76765,0.73547,0.76856,0.51978,1.3401,0.2206,0.88546,0.00856,0.00856,0.00856
18,3524.09,1.27046,0.23531,0.86685,0.78564,0.81391,0.79385,0.55249,1.33197,0.21774,0.88275,0.00847,0.00847,0.00847
19,3722.49,1.26279,0.23254,0.86545,0.77625,0.77432,0.77502,0.53339,1.32181,0.21772,0.88137,0.00838,0.00838,0.00838
20,3922.1,1.25326,0.22952,0.86255,0.79108,0.75865,0.77109,0.5291,1.31586,0.21569,0.88004,0.00829,0.00829,0.00829
21,4118.32,1.24515,0.22852,0.86108,0.76873,0.8004,0.78113,0.53647,1.30965,0.21272,0.87821,0.0082,0.0082,0.0082
22,4316.95,1.23773,0.22611,0.8599,0.80822,0.78219,0.78972,0.54408,1.30586,0.21018,0.87731,0.00811,0.00811,0.00811
23,4515.67,1.23119,0.2234,0.85863,0.8046,0.81096,0.8015,0.55534,1.30366,0.20809,0.87625,0.00802,0.00802,0.00802
24,4711.93,1.22652,0.22292,0.85769,0.80393,0.8096,0.79893,0.5566,1.30064,0.20799,0.87568,0.00793,0.00793,0.00793
25,4908.91,1.22177,0.2204,0.8567,0.80234,0.80464,0.79581,0.55533,1.299,0.20725,0.87527,0.00784,0.00784,0.00784
26,5106.29,1.21473,0.21919,0.85517,0.80331,0.80763,0.79528,0.55633,1.29807,0.20716,0.8749,0.00775,0.00775,0.00775
27,5301.77,1.209,0.21639,0.85388,0.80094,0.81442,0.79485,0.55778,1.29702,0.20646,0.87469,0.00766,0.00766,0.00766
28,5498.3,1.2092,0.21737,0.85379,0.77813,0.83902,0.79699,0.55939,1.29528,0.206,0.87447,0.00757,0.00757,0.00757
29,5695.43,1.20525,0.21548,0.85339,0.7731,0.84049,0.79574,0.55704,1.2947,0.20579,0.87441,0.00748,0.00748,0.00748
30,5892.69,1.19347,0.21374,0.85171,0.79846,0.80775,0.79651,0.55674,1.29341,0.20517,0.87403,0.00739,0.00739,0.00739
31,6091.69,1.18717,0.21128,0.85058,0.79328,0.81518,0.79515,0.55556,1.29194,0.20465,0.87384,0.0073,0.0073,0.0073
32,6286.91,1.18346,0.21222,0.85049,0.74902,0.8564,0.7999,0.56151,1.29028,0.20422,0.87352,0.00721,0.00721,0.00721
33,6482.39,1.18613,0.21135,0.8505,0.7502,0.86003,0.8001,0.56109,1.28944,0.20394,0.87313,0.00712,0.00712,0.00712
34,6679.89,1.18013,0.21112,0.84872,0.75387,0.86287,0.79955,0.5606,1.28955,0.20339,0.87307,0.00703,0.00703,0.00703
35,6878.12,1.17647,0.20959,0.84841,0.74907,0.86027,0.8002,0.56265,1.28844,0.20303,0.87289,0.00694,0.00694,0.00694
