epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.127,1.71578,1.42744,0.98839,0.60104,0.52065,0.53263,0.30876,1.62504,1.07454,0.9465,0.00333083,0.00333083,0.0700225
2,492.007,1.51309,0.87818,0.92057,0.68995,0.55355,0.56349,0.32732,1.59024,1.01793,0.94449,0.00664417,0.00664417,0.0400025
3,722.967,1.49211,0.83796,0.91566,0.52201,0.53186,0.50942,0.28444,1.64403,1.13189,0.94571,0.00993751,0.00993751,0.00996254
4,954.072,1.45399,0.79899,0.90918,0.64799,0.61514,0.63998,0.37304,1.55436,0.9734,0.9357,0.00991,0.00991,0.00991
5,1185.42,1.36519,0.72049,0.89106,0.68969,0.65566,0.6812,0.41888,1.48527,0.88386,0.92326,0.00988,0.00988,0.00988
6,1409.69,1.3133,0.68085,0.88117,0.80596,0.62495,0.69669,0.43672,1.43523,0.86083,0.91076,0.00985,0.00985,0.00985
7,1639.5,1.27634,0.6533,0.87413,0.86977,0.66331,0.71497,0.44679,1.42707,0.83146,0.90348,0.00982,0.00982,0.00982
8,1871.8,1.24534,0.63269,0.86758,0.75227,0.7086,0.7421,0.47328,1.39991,0.81014,0.89949,0.00979,0.00979,0.00979
9,2099.66,1.2194,0.61573,0.86343,0.75163,0.68661,0.73753,0.47296,1.38225,0.79522,0.89953,0.00976,0.00976,0.00976
10,2329.3,1.2002,0.60305,0.8596,0.75992,0.72175,0.73206,0.46853,1.37194,0.77571,0.89583,0.00973,0.00973,0.00973
11,2559.04,1.18323,0.59244,0.85641,0.71607,0.71253,0.73206,0.46426,1.36066,0.77283,0.89314,0.0097,0.0097,0.0097
12,2785.64,1.16733,0.58327,0.85336,0.79392,0.74713,0.7745,0.50618,1.35387,0.75928,0.89261,0.00967,0.00967,0.00967
13,3013.59,1.15455,0.57463,0.85131,0.77644,0.75992,0.78014,0.50111,1.33809,0.75029,0.89027,0.00964,0.00964,0.00964
14,3242.6,1.14326,0.56903,0.84938,0.75419,0.73918,0.75486,0.47854,1.3449,0.74685,0.89076,0.00961,0.00961,0.00961
15,3467,1.13125,0.56221,0.84712,0.76845,0.72861,0.75136,0.47827,1.34053,0.74295,0.89139,0.00958,0.00958,0.00958
16,3697.45,1.12566,0.55816,0.84595,0.77044,0.74687,0.76209,0.48979,1.33055,0.73798,0.88936,0.00955,0.00955,0.00955
17,3910.55,1.11206,0.55171,0.84361,0.77132,0.7335,0.76042,0.49386,1.32911,0.73606,0.8891,0.00952,0.00952,0.00952
18,4130.46,1.10298,0.54687,0.84227,0.7857,0.73432,0.76095,0.48573,1.32504,0.73381,0.88962,0.00949,0.00949,0.00949
19,4361.94,1.0964,0.54297,0.84065,0.76567,0.77905,0.7746,0.49639,1.32437,0.7315,0.88897,0.00946,0.00946,0.00946
20,4588.6,1.09016,0.53892,0.83953,0.73685,0.81209,0.78297,0.50231,1.32383,0.7299,0.88873,0.00943,0.00943,0.00943
21,4816.33,1.08144,0.53595,0.83822,0.80134,0.752,0.78371,0.50379,1.32268,0.72763,0.88871,0.0094,0.0094,0.0094
22,5045.84,1.07854,0.53304,0.83769,0.78326,0.76378,0.78836,0.50961,1.32109,0.72689,0.88903,0.00937,0.00937,0.00937
23,5263.56,1.07147,0.52947,0.83635,0.76773,0.78496,0.79105,0.51312,1.32,0.72666,0.88895,0.00934,0.00934,0.00934
24,5481.13,1.06665,0.52788,0.83553,0.80868,0.76466,0.79209,0.5088,1.31817,0.72565,0.88887,0.00931,0.00931,0.00931
25,5703.51,1.06264,0.52595,0.8349,0.79185,0.75458,0.78688,0.50527,1.31714,0.72535,0.88902,0.00928,0.00928,0.00928
26,5921.46,1.05341,0.52123,0.83382,0.73733,0.819,0.78824,0.50679,1.31661,0.72446,0.88905,0.00925,0.00925,0.00925
27,6142.5,1.05118,0.52044,0.83316,0.74299,0.81351,0.78488,0.50384,1.31682,0.7247,0.88923,0.00922,0.00922,0.00922
28,6374.47,1.04584,0.51824,0.83248,0.75747,0.80611,0.78603,0.50341,1.31605,0.72475,0.88956,0.00919,0.00919,0.00919
29,6609.13,1.04338,0.51627,0.83192,0.76085,0.80732,0.78487,0.5034,1.31729,0.7233,0.88983,0.00916,0.00916,0.00916
30,6843.02,1.0384,0.51372,0.83105,0.75788,0.80741,0.78265,0.50059,1.31664,0.72299,0.88968,0.00913,0.00913,0.00913
31,7077.56,1.03559,0.51229,0.83022,0.75433,0.81165,0.7823,0.50001,1.31642,0.72207,0.88957,0.0091,0.0091,0.0091
32,7312.4,1.0285,0.5097,0.82952,0.75609,0.8108,0.78153,0.4998,1.31645,0.72171,0.88975,0.00907,0.00907,0.00907
33,7542.81,1.02526,0.50711,0.82908,0.75286,0.81301,0.78171,0.49955,1.31743,0.7219,0.88991,0.00904,0.00904,0.00904
34,7775.15,1.02363,0.50721,0.8286,0.73362,0.82504,0.78358,0.49998,1.31679,0.72094,0.89011,0.00901,0.00901,0.00901
35,8001.53,1.02075,0.50532,0.82813,0.73457,0.82507,0.78453,0.50326,1.3162,0.72053,0.89029,0.00898,0.00898,0.00898
36,8229.49,1.01815,0.50383,0.82757,0.73305,0.8313,0.78438,0.50233,1.3164,0.72115,0.89037,0.00895,0.00895,0.00895
37,8457.78,1.0123,0.50136,0.8268,0.7291,0.826,0.78686,0.50326,1.3159,0.72017,0.89032,0.00892,0.00892,0.00892
38,8685.4,1.01151,0.50074,0.82658,0.73456,0.83152,0.78948,0.50312,1.31557,0.71987,0.89038,0.00889,0.00889,0.00889
39,8912.8,1.00953,0.49939,0.82612,0.73837,0.83123,0.79013,0.50334,1.31589,0.72024,0.8905,0.00886,0.00886,0.00886
40,9141.21,1.0048,0.49806,0.82558,0.74404,0.83033,0.78879,0.504,1.31625,0.72082,0.89075,0.00883,0.00883,0.00883
41,9369.97,1.00378,0.49758,0.82583,0.74311,0.83019,0.78843,0.50497,1.31548,0.7205,0.89074,0.0088,0.0088,0.0088
42,9603.01,1.00245,0.49656,0.82522,0.74907,0.82211,0.79019,0.50797,1.31614,0.72033,0.89075,0.00877,0.00877,0.00877
43,9834.05,0.99947,0.49545,0.82484,0.75115,0.8133,0.79111,0.51038,1.31601,0.71945,0.89091,0.00874,0.00874,0.00874
44,10062.9,0.9984,0.49488,0.82451,0.75797,0.81232,0.78976,0.51007,1.31551,0.71869,0.89106,0.00871,0.00871,0.00871
45,10294.2,0.99284,0.49185,0.82368,0.76645,0.81062,0.78955,0.5096,1.31516,0.71868,0.89107,0.00868,0.00868,0.00868
46,10528.2,0.99256,0.49177,0.8234,0.76955,0.80851,0.79085,0.50992,1.31448,0.71872,0.89104,0.00865,0.00865,0.00865
47,10761.2,0.99015,0.49099,0.82346,0.7586,0.79448,0.79016,0.50935,1.31461,0.71858,0.89126,0.00862,0.00862,0.00862
48,10992.7,0.9872,0.4893,0.82307,0.76042,0.79313,0.79004,0.50963,1.31461,0.71818,0.89121,0.00859,0.00859,0.00859
49,11225.6,0.98491,0.48842,0.82225,0.76922,0.79126,0.78939,0.50655,1.31449,0.71756,0.89115,0.00856,0.00856,0.00856
50,11459.7,0.98469,0.48791,0.82246,0.77341,0.79007,0.79344,0.50962,1.31474,0.71748,0.8913,0.00853,0.00853,0.00853
51,11690.9,0.9815,0.48702,0.82185,0.77848,0.79016,0.78838,0.50653,1.31486,0.71702,0.89165,0.0085,0.0085,0.0085
52,11920.9,0.97919,0.48551,0.82169,0.7868,0.78754,0.78936,0.50607,1.31447,0.7162,0.8918,0.00847,0.00847,0.00847
53,12153.6,0.97921,0.48565,0.8218,0.79906,0.78261,0.79269,0.50798,1.31514,0.71608,0.89187,0.00844,0.00844,0.00844
