epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.259,2.20257,1.23376,0.00351,0.63645,0.28706,0.2593,0.14853,1.79856,0.55514,0.00333,0.000998498,0.000998498,0.0910135
2,555.184,2.00871,0.67294,0.00295,0.44522,0.40224,0.35378,0.22502,1.69182,0.45317,0.00301,0.00198051,0.00198051,0.0819955
3,818.967,1.92985,0.53847,0.00274,0.52781,0.43469,0.41101,0.26326,1.66353,0.41547,0.00297,0.00294453,0.00294453,0.0729595
4,1078.18,1.86967,0.4646,0.00262,0.49944,0.49491,0.48122,0.3093,1.59433,0.38926,0.00281,0.00389054,0.00389054,0.0639056
5,1342.88,1.83295,0.41416,0.00254,0.52996,0.49932,0.52945,0.34131,1.57899,0.36446,0.0028,0.00481855,0.00481855,0.0548336
6,1607.72,1.81405,0.3801,0.0025,0.59918,0.47646,0.54167,0.33821,1.59767,0.35051,0.00284,0.00572857,0.00572857,0.0457436
7,1874.65,1.78809,0.35559,0.00246,0.67551,0.5475,0.62977,0.41174,1.56521,0.32936,0.00279,0.00662058,0.00662058,0.0366356
8,2139.84,1.77355,0.33576,0.00243,0.64423,0.58936,0.62005,0.40898,1.565,0.3068,0.00277,0.00749459,0.00749459,0.0275096
9,2404.56,1.76505,0.31681,0.00242,0.70595,0.62087,0.66108,0.42891,1.55197,0.28456,0.00275,0.00835061,0.00835061,0.0183656
10,2670.85,1.76011,0.29979,0.00242,0.75821,0.55136,0.60987,0.37947,1.59259,0.2812,0.00284,0.00918862,0.00918862,0.00920364
11,2935.78,1.73884,0.28872,0.00239,0.81549,0.62736,0.71535,0.48452,1.55326,0.25459,0.00274,0.0091,0.0091,0.0091
12,3200.8,1.69949,0.27077,0.00233,0.62745,0.74018,0.71031,0.47346,1.51911,0.24318,0.00268,0.00901,0.00901,0.00901
13,3465.94,1.67462,0.25802,0.00227,0.73418,0.69726,0.7303,0.49395,1.48423,0.24082,0.00261,0.00892,0.00892,0.00892
14,3732.51,1.65463,0.25152,0.00224,0.68998,0.75215,0.73942,0.50039,1.47777,0.23226,0.00261,0.00883,0.00883,0.00883
15,3997.34,1.64025,0.244,0.00221,0.76044,0.68521,0.75799,0.51671,1.46982,0.22509,0.00256,0.00874,0.00874,0.00874
16,4258.63,1.62216,0.23895,0.00219,0.69964,0.74817,0.7399,0.49673,1.46004,0.22068,0.00255,0.00865,0.00865,0.00865
17,4519.71,1.61747,0.23546,0.00217,0.7387,0.70347,0.7162,0.49064,1.45215,0.22368,0.00253,0.00856,0.00856,0.00856
18,4782.02,1.60053,0.23058,0.00214,0.72983,0.67974,0.71774,0.48384,1.44385,0.22014,0.00251,0.00847,0.00847,0.00847
19,5043.73,1.5937,0.2286,0.00213,0.69398,0.71822,0.73019,0.49976,1.43553,0.21643,0.0025,0.00838,0.00838,0.00838
20,5305.22,1.58269,0.22403,0.00211,0.71747,0.72234,0.74294,0.50955,1.43265,0.2128,0.00249,0.00829,0.00829,0.00829
21,5568.99,1.57792,0.22165,0.0021,0.72159,0.71925,0.74678,0.50741,1.42691,0.20971,0.00248,0.0082,0.0082,0.0082
22,5839.46,1.57392,0.21987,0.00209,0.72442,0.75224,0.76775,0.52286,1.41899,0.20804,0.00246,0.00811,0.00811,0.00811
23,6110.42,1.56553,0.217,0.00208,0.72893,0.77697,0.76271,0.51798,1.41882,0.20604,0.00246,0.00802,0.00802,0.00802
24,6371.37,1.56251,0.2167,0.00208,0.75084,0.75927,0.77131,0.52932,1.412,0.20585,0.00245,0.00793,0.00793,0.00793
25,6631.53,1.55648,0.21455,0.00206,0.765,0.7739,0.77701,0.53959,1.4089,0.20493,0.00245,0.00784,0.00784,0.00784
26,6893.68,1.55427,0.21305,0.00205,0.74868,0.78904,0.77547,0.54138,1.40813,0.20425,0.00245,0.00775,0.00775,0.00775
27,7164.8,1.54721,0.20976,0.00204,0.73802,0.80956,0.77788,0.54259,1.4053,0.20366,0.00244,0.00766,0.00766,0.00766
28,7441.47,1.54844,0.21,0.00203,0.72802,0.8184,0.77564,0.53762,1.40502,0.20254,0.00244,0.00757,0.00757,0.00757
29,7713.32,1.54332,0.20765,0.00203,0.7318,0.81441,0.77043,0.53498,1.40574,0.20201,0.00244,0.00748,0.00748,0.00748
30,7973.04,1.53397,0.20658,0.00202,0.75596,0.80806,0.77514,0.53605,1.40471,0.20102,0.00244,0.00739,0.00739,0.00739
31,8237.26,1.52596,0.20393,0.00201,0.75074,0.81057,0.7788,0.53956,1.40267,0.20083,0.00243,0.0073,0.0073,0.0073
32,8499,1.52118,0.20308,0.002,0.74151,0.8198,0.78286,0.54356,1.40184,0.19997,0.00243,0.00721,0.00721,0.00721
33,8758.96,1.52115,0.20296,0.002,0.75323,0.81681,0.78554,0.54417,1.40076,0.19871,0.00243,0.00712,0.00712,0.00712
34,9022.19,1.5198,0.20093,0.00199,0.76301,0.79992,0.78272,0.54014,1.39944,0.19811,0.00243,0.00703,0.00703,0.00703
35,9295.1,1.51258,0.19967,0.00198,0.738,0.81886,0.78043,0.53852,1.39815,0.19718,0.00242,0.00694,0.00694,0.00694
36,9566.62,1.50592,0.19853,0.00198,0.75663,0.80739,0.77628,0.53735,1.39656,0.19648,0.00242,0.00685,0.00685,0.00685
37,9839.32,1.50656,0.19659,0.00197,0.75715,0.80673,0.77675,0.53844,1.39635,0.19555,0.00242,0.00676,0.00676,0.00676
38,10114.6,1.50534,0.19951,0.00197,0.75177,0.80379,0.77753,0.53941,1.39612,0.19447,0.00242,0.00667,0.00667,0.00667
39,10383.2,1.49948,0.19544,0.00196,0.75611,0.77574,0.77889,0.53868,1.39528,0.19425,0.00242,0.00658,0.00658,0.00658
