epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,462.795,2.32171,1.52308,0.00324,0.51959,0.51749,0.46856,0.27521,1.74134,0.36551,0.00316,0.00998498,0.00332833,0.00998498,0.00332833,0.00998498,0.00332833,0.00998498,0.00332833
2,922.112,2.09695,0.66162,0.00263,0.61151,0.51569,0.54899,0.32906,1.7942,0.28844,0.00319,0.0197023,0.00656745,0.0197023,0.00656745,0.0197023,0.00656745,0.0197023,0.00656745
3,1379.54,2.07089,0.55628,0.00258,0.5508,0.59615,0.53623,0.29944,1.83587,0.31985,0.00333,0.0291368,0.00971228,0.0291368,0.00971228,0.0291368,0.00971228,0.0291368,0.00971228
4,1845.49,2.03928,0.51814,0.00253,0.76625,0.63881,0.66191,0.40667,1.72096,0.26474,0.00315,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,2309.33,1.95782,0.47292,0.0024,0.75848,0.64208,0.65188,0.39231,1.71861,0.25483,0.00312,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,2761.11,1.91636,0.44595,0.00233,0.70208,0.67858,0.69541,0.42674,1.68784,0.22798,0.00302,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,3203.91,1.87733,0.42947,0.00226,0.74172,0.66454,0.71127,0.43421,1.67879,0.22323,0.00301,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,3645.69,1.84995,0.41518,0.00221,0.77844,0.73438,0.74968,0.49257,1.60433,0.21235,0.00284,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,4082.28,1.8226,0.40064,0.00218,0.77974,0.7066,0.73586,0.47037,1.58924,0.20465,0.00276,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,4535.35,1.80831,0.39653,0.00214,0.7354,0.73226,0.75192,0.49416,1.53791,0.19895,0.00268,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,4999.25,1.79795,0.38932,0.00212,0.668,0.76179,0.72707,0.47543,1.51621,0.19315,0.00267,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,5458.69,1.78544,0.38244,0.00211,0.73433,0.76067,0.74086,0.49382,1.51578,0.18892,0.00261,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,5927.55,1.77821,0.37739,0.00209,0.71778,0.79787,0.75112,0.50723,1.51377,0.18582,0.00261,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,6393.47,1.76777,0.37607,0.00207,0.81878,0.79958,0.7985,0.54178,1.51014,0.18239,0.00259,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,6860.03,1.75479,0.37005,0.00206,0.76991,0.78342,0.79375,0.54083,1.49473,0.17791,0.00257,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,7324.63,1.75925,0.3676,0.00205,0.75492,0.81039,0.7897,0.54612,1.48541,0.17991,0.00255,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,7799.77,1.74588,0.36328,0.00203,0.74485,0.79401,0.77521,0.53034,1.47412,0.17874,0.00253,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,8277.57,1.73492,0.35904,0.00202,0.767,0.81593,0.80126,0.54063,1.46649,0.17271,0.00252,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,8770.98,1.72685,0.35716,0.00202,0.7302,0.7833,0.77843,0.532,1.46704,0.17414,0.00251,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,9280.93,1.72792,0.35422,0.002,0.76457,0.7605,0.76655,0.52097,1.46553,0.17493,0.00251,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,9762.31,1.71413,0.3512,0.00198,0.75296,0.79671,0.77209,0.52539,1.46176,0.1743,0.00249,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,10266.9,1.71708,0.34928,0.00198,0.76867,0.76791,0.7868,0.53692,1.45491,0.17292,0.00249,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,10742.7,1.7076,0.34723,0.00197,0.76331,0.79473,0.7963,0.54079,1.45393,0.17114,0.00249,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,11186.6,1.69908,0.34371,0.00196,0.77301,0.76999,0.79535,0.54264,1.45037,0.16997,0.00248,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,11631.8,1.69215,0.34365,0.00196,0.77003,0.77285,0.80726,0.55263,1.44498,0.17004,0.00247,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
26,12077.8,1.68812,0.33982,0.00194,0.7748,0.76952,0.79992,0.54631,1.44503,0.16961,0.00247,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
27,12517.5,1.67589,0.3358,0.00194,0.77899,0.7695,0.79758,0.54642,1.44172,0.16896,0.00247,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
28,12970.3,1.67829,0.33589,0.00193,0.77972,0.76918,0.80335,0.54816,1.44154,0.16854,0.00247,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143
29,13426.8,1.66944,0.33438,0.00192,0.78206,0.76994,0.79933,0.54545,1.44011,0.16736,0.00247,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
30,13885.2,1.66352,0.32832,0.0019,0.77492,0.76827,0.79462,0.54118,1.43864,0.16704,0.00246,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,14346.6,1.66116,0.33074,0.0019,0.77885,0.77397,0.79956,0.54495,1.43699,0.16624,0.00246,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,14796.8,1.64842,0.32586,0.00189,0.7795,0.77446,0.81148,0.55403,1.43529,0.16605,0.00246,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,15251.4,1.64182,0.32581,0.00187,0.78453,0.77517,0.80354,0.5488,1.43473,0.16586,0.00246,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,15705,1.63848,0.32396,0.00187,0.78944,0.77529,0.79703,0.54049,1.43524,0.16569,0.00245,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,16148.8,1.62801,0.31994,0.00186,0.79334,0.77519,0.79733,0.54255,1.43339,0.16623,0.00245,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,16593.1,1.62711,0.31947,0.00184,0.78715,0.77854,0.80234,0.54914,1.43142,0.16588,0.00245,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,17041.7,1.61874,0.31964,0.00184,0.78969,0.77859,0.79778,0.54541,1.43193,0.16534,0.00244,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,17483.8,1.61197,0.31601,0.00183,0.78907,0.7798,0.8021,0.54931,1.43115,0.16511,0.00244,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,17925.8,1.60195,0.3151,0.00182,0.77141,0.80533,0.80429,0.5512,1.43048,0.16452,0.00244,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,18370.6,1.60846,0.31434,0.00181,0.79187,0.79992,0.8025,0.54945,1.42923,0.16414,0.00244,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,18807,1.59867,0.31206,0.0018,0.77137,0.80675,0.79854,0.54682,1.4284,0.16378,0.00244,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,19252.7,1.58954,0.30925,0.0018,0.77202,0.79231,0.79717,0.54593,1.42611,0.16364,0.00243,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,19696.4,1.5874,0.30996,0.0018,0.77714,0.80344,0.795,0.54449,1.4254,0.16329,0.00243,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,20137.7,1.58387,0.3074,0.00179,0.79664,0.79489,0.79984,0.55103,1.42393,0.16231,0.00243,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
45,20571.8,1.57855,0.30482,0.00177,0.79644,0.79498,0.80136,0.55165,1.42325,0.1617,0.00243,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
46,21021.7,1.57171,0.30305,0.00176,0.79689,0.79459,0.80269,0.55247,1.42233,0.16119,0.00243,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571
47,21468.5,1.56337,0.30172,0.00175,0.7966,0.78641,0.80273,0.55305,1.42164,0.16116,0.00243,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
48,21915.1,1.55599,0.3024,0.00175,0.77057,0.7947,0.79611,0.54451,1.42081,0.16151,0.00242,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286
49,22363.2,1.55398,0.30043,0.00173,0.79994,0.78588,0.80139,0.5507,1.42019,0.16142,0.00242,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
50,22810.8,1.54495,0.29898,0.00174,0.7985,0.78935,0.80008,0.55137,1.41949,0.16149,0.00242,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
51,23264,1.542,0.2956,0.00173,0.80095,0.78761,0.80094,0.55413,1.41645,0.16126,0.00241,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
52,23723.3,1.53901,0.29617,0.00171,0.79314,0.79155,0.80114,0.55441,1.41609,0.16067,0.00241,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714
53,24180.8,1.534,0.2941,0.0017,0.79249,0.78992,0.7968,0.55185,1.41386,0.16066,0.00241,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
54,24629.3,1.52101,0.29083,0.0017,0.78258,0.79895,0.79484,0.55166,1.41375,0.16065,0.00241,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429
55,25077.7,1.51847,0.29012,0.00169,0.78444,0.79751,0.78896,0.5468,1.4136,0.16076,0.00241,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
56,25528.5,1.5126,0.28964,0.00167,0.77161,0.79919,0.78685,0.5439,1.41383,0.16057,0.00241,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143
57,25960.3,1.50661,0.28698,0.00167,0.78166,0.80234,0.79196,0.54932,1.41397,0.16021,0.00241,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
58,26398.2,1.50013,0.28543,0.00167,0.76741,0.79103,0.78784,0.54326,1.41335,0.16006,0.00241,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857
59,26830.7,1.49554,0.28244,0.00166,0.79882,0.77323,0.78943,0.54403,1.41236,0.15988,0.00241,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
60,27297.1,1.49109,0.28349,0.00165,0.80006,0.77026,0.79298,0.54786,1.41148,0.15987,0.00241,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571
61,27742.1,1.41849,0.25361,0.00175,0.80138,0.77091,0.79269,0.54687,1.40999,0.15959,0.0024,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
62,28179.7,1.40643,0.25035,0.00173,0.79775,0.77349,0.79036,0.54363,1.40805,0.16021,0.0024,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286
63,28612.6,1.39666,0.24778,0.0017,0.77162,0.77825,0.78477,0.53883,1.40539,0.16045,0.0024,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143
64,29052.6,1.38738,0.2465,0.0017,0.7738,0.78138,0.78617,0.54082,1.40281,0.16032,0.00239,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
65,29491.3,1.37928,0.24343,0.00169,0.78195,0.78405,0.78556,0.53928,1.40007,0.16038,0.00239,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571
66,29932.7,1.37425,0.24232,0.00167,0.78095,0.78061,0.78072,0.53675,1.39985,0.16026,0.00238,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143
67,30368.2,1.36606,0.24044,0.00166,0.7736,0.76923,0.77457,0.53128,1.39787,0.15982,0.00238,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714
68,30805.6,1.36043,0.23926,0.00165,0.76501,0.77242,0.76735,0.52599,1.39514,0.15979,0.00238,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286
69,31258.3,1.35473,0.23721,0.00164,0.77112,0.77022,0.7655,0.52514,1.39323,0.15984,0.00238,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857
70,31694,1.34479,0.23546,0.00162,0.73127,0.79518,0.76916,0.52759,1.39147,0.15996,0.00237,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429
