epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,496.607,2.32796,2.41766,0.00325,0.78823,0.45137,0.48589,0.27574,1.763,1.26415,0.0032,0.00998498,0.00332833,0.00998498,0.00332833,0.00998498,0.00332833,0.00998498,0.00332833
2,978.398,2.09623,1.25159,0.00263,0.54049,0.537,0.54014,0.29727,1.87603,1.18472,0.00322,0.0197871,0.00659571,0.0197871,0.00659571,0.0197871,0.00659571,0.0197871,0.00659571
3,1455.23,2.07314,1.09121,0.00257,0.66305,0.51368,0.53605,0.28528,1.8659,1.25151,0.00346,0.0293913,0.00979709,0.0293913,0.00979709,0.0293913,0.00979709,0.0293913,0.00979709
4,1943.39,2.03824,1.03329,0.00252,0.67802,0.66102,0.61869,0.35893,1.7721,1.0352,0.00328,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2420.08,1.95901,0.9596,0.00239,0.78351,0.60105,0.61577,0.35241,1.72599,0.97496,0.00315,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2901.6,1.91577,0.91312,0.00232,0.67003,0.81232,0.73939,0.45781,1.69465,0.90594,0.00305,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3399.35,1.87763,0.882,0.00225,0.68822,0.73072,0.72254,0.45421,1.61119,0.8572,0.00285,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3902.85,1.85288,0.8594,0.00221,0.79505,0.74201,0.75919,0.49093,1.59168,0.82235,0.0028,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4400.19,1.82412,0.83481,0.00217,0.74776,0.72154,0.73507,0.47972,1.5525,0.78484,0.00269,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4890.48,1.81044,0.82279,0.00214,0.86768,0.76116,0.8151,0.54318,1.58178,0.81698,0.00272,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5325.7,1.80214,0.81432,0.00213,0.74468,0.73035,0.76201,0.50664,1.51006,0.76584,0.00263,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5748.22,1.78583,0.80324,0.00211,0.83649,0.77997,0.8164,0.54517,1.51798,0.73945,0.00263,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6225.9,1.7795,0.79337,0.00209,0.83184,0.79785,0.82412,0.54254,1.51755,0.74128,0.00261,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6718.58,1.76984,0.78847,0.00207,0.84743,0.81379,0.84053,0.5726,1.49639,0.73462,0.00258,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7196.45,1.75706,0.77952,0.00206,0.75685,0.85099,0.83964,0.567,1.49185,0.72003,0.00256,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
