epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.217,2.09962,2.39865,0.00325,0.48138,0.38334,0.40086,0.24208,1.70233,1.46405,0.00308,0.00332833,0.00332833,0.070045
2,557.292,1.8594,1.31231,0.00264,0.584,0.54935,0.55722,0.34347,1.62663,1.23467,0.00293,0.00660171,0.00660171,0.0399851
3,845.693,1.78459,1.05289,0.0025,0.54611,0.53541,0.5419,0.29116,1.82186,1.23345,0.00342,0.00981509,0.00981509,0.00986514
4,1133.76,1.72273,0.8806,0.00239,0.71547,0.58162,0.59083,0.35471,1.68933,0.97769,0.00315,0.00973,0.00973,0.00973
5,1417.44,1.64081,0.77119,0.00225,0.67604,0.63853,0.64689,0.40234,1.61928,0.8639,0.00294,0.00964,0.00964,0.00964
6,1695.1,1.59241,0.71923,0.00216,0.76555,0.59907,0.6565,0.40377,1.56012,0.84096,0.00284,0.00955,0.00955,0.00955
7,1981.17,1.55726,0.68282,0.0021,0.71621,0.63942,0.68208,0.42641,1.54649,0.79019,0.00278,0.00946,0.00946,0.00946
8,2265.86,1.53008,0.66182,0.00205,0.74859,0.72522,0.73829,0.46867,1.54389,0.74523,0.00278,0.00937,0.00937,0.00937
9,2556.52,1.50396,0.64224,0.00201,0.83381,0.66646,0.73429,0.46922,1.51373,0.72333,0.00274,0.00928,0.00928,0.00928
10,2850.79,1.48661,0.62744,0.00198,0.7843,0.70541,0.73642,0.4762,1.49893,0.74139,0.00271,0.00919,0.00919,0.00919
11,3137.76,1.46896,0.61533,0.00195,0.73283,0.64452,0.71802,0.46946,1.49348,0.70941,0.00271,0.0091,0.0091,0.0091
12,3425.36,1.45625,0.60257,0.00193,0.78968,0.75591,0.76928,0.49918,1.48163,0.69657,0.00268,0.00901,0.00901,0.00901
13,3716.24,1.44324,0.59248,0.0019,0.66319,0.77204,0.73382,0.47645,1.46654,0.69691,0.00262,0.00892,0.00892,0.00892
14,3999.11,1.43628,0.58645,0.00189,0.74629,0.73561,0.74072,0.48542,1.47178,0.68894,0.00264,0.00883,0.00883,0.00883
15,4280.84,1.42419,0.57545,0.00187,0.7941,0.79634,0.77419,0.51079,1.46369,0.67597,0.00264,0.00874,0.00874,0.00874
16,4549.89,1.41543,0.57078,0.00186,0.77869,0.78174,0.7723,0.50401,1.46123,0.67255,0.00263,0.00865,0.00865,0.00865
17,4819.04,1.40699,0.5658,0.00184,0.74549,0.75102,0.74106,0.48892,1.44606,0.66783,0.00261,0.00856,0.00856,0.00856
18,5087.17,1.39396,0.55753,0.00182,0.73615,0.72664,0.7308,0.48692,1.44067,0.65983,0.00259,0.00847,0.00847,0.00847
19,5359.35,1.39388,0.55565,0.00181,0.72996,0.79522,0.74885,0.4997,1.44465,0.65667,0.0026,0.00838,0.00838,0.00838
20,5634.37,1.38359,0.54641,0.0018,0.76648,0.75254,0.75456,0.50356,1.44421,0.65853,0.0026,0.00829,0.00829,0.00829
