epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,530.084,1.76513,1.24578,0.9935,0.64196,0.58388,0.60967,0.36861,1.60847,0.98462,0.94287,0.00166542,0.00166542,0.0683571
2,1054.98,1.54564,0.80947,0.91247,0.73276,0.70275,0.69147,0.43904,1.54941,0.88764,0.92495,0.00330043,0.00330043,0.0366588
3,1558.23,1.51319,0.78222,0.90288,0.69046,0.62637,0.62678,0.37767,1.54202,0.96145,0.92476,0.00490377,0.00490377,0.0049288
4,2075.81,1.49167,0.76794,0.89861,0.77311,0.67916,0.73089,0.46323,1.49501,0.88231,0.91474,0.0048575,0.0048575,0.0048575
5,2587.23,1.43271,0.72366,0.88674,0.7327,0.71772,0.72682,0.45379,1.47809,0.8361,0.9083,0.00481,0.00481,0.00481
6,3095.92,1.39356,0.69424,0.87896,0.69162,0.64205,0.70688,0.45686,1.42019,0.81401,0.89915,0.0047625,0.0047625,0.0047625
7,3589.38,1.36182,0.67584,0.87375,0.80275,0.75038,0.78782,0.5102,1.4098,0.79237,0.89132,0.004715,0.004715,0.004715
8,4098.45,1.34616,0.66204,0.87012,0.72325,0.77039,0.75092,0.4962,1.37057,0.77368,0.88565,0.0046675,0.0046675,0.0046675
9,4612.91,1.3241,0.64742,0.86631,0.72044,0.76698,0.74802,0.49998,1.35142,0.75667,0.88135,0.00462,0.00462,0.00462
10,5125.05,1.30415,0.63627,0.86312,0.74254,0.81745,0.7863,0.53322,1.34451,0.74822,0.88189,0.0045725,0.0045725,0.0045725
11,5616.87,1.29053,0.62693,0.86086,0.7498,0.72608,0.75102,0.50646,1.31476,0.73572,0.87603,0.004525,0.004525,0.004525
12,6128.96,1.27275,0.61576,0.85782,0.6904,0.80107,0.77533,0.53388,1.30781,0.7216,0.87453,0.0044775,0.0044775,0.0044775
13,6645.55,1.26961,0.61264,0.85667,0.7914,0.7594,0.80927,0.55872,1.29876,0.72335,0.87285,0.00443,0.00443,0.00443
14,7154.09,1.25788,0.60606,0.85433,0.77366,0.80898,0.80523,0.55812,1.28586,0.71223,0.86926,0.0043825,0.0043825,0.0043825
15,7647.39,1.247,0.5989,0.85257,0.82585,0.80026,0.82012,0.57206,1.27649,0.70362,0.86892,0.004335,0.004335,0.004335
16,8158.04,1.23671,0.59307,0.85114,0.75729,0.82774,0.79951,0.55703,1.26691,0.69623,0.86672,0.0042875,0.0042875,0.0042875
17,8669.83,1.22635,0.58735,0.84887,0.75473,0.83792,0.79941,0.5622,1.26021,0.69044,0.86568,0.00424,0.00424,0.00424
18,9182.71,1.21601,0.58096,0.8481,0.73999,0.82422,0.79678,0.56015,1.25569,0.68696,0.86497,0.0041925,0.0041925,0.0041925
19,9681.45,1.21115,0.57795,0.84703,0.7561,0.80214,0.7984,0.55951,1.25337,0.68573,0.8643,0.004145,0.004145,0.004145
20,10193.9,1.20347,0.57336,0.845,0.72939,0.81519,0.79653,0.55948,1.25206,0.68312,0.86358,0.0040975,0.0040975,0.0040975
21,10701.8,1.19439,0.56822,0.84397,0.74221,0.80127,0.80251,0.56739,1.24893,0.67949,0.86305,0.00405,0.00405,0.00405
22,11213.4,1.19211,0.56659,0.84339,0.76456,0.79352,0.80187,0.56581,1.24761,0.67736,0.86259,0.0040025,0.0040025,0.0040025
23,11711.3,1.18241,0.56067,0.84127,0.76619,0.79561,0.8043,0.5672,1.24423,0.67602,0.86186,0.003955,0.003955,0.003955
24,12223,1.17469,0.55753,0.84038,0.7121,0.82681,0.80266,0.56644,1.2427,0.67438,0.86161,0.0039075,0.0039075,0.0039075
25,12732.2,1.177,0.55852,0.84108,0.78465,0.75538,0.7991,0.56344,1.24025,0.67237,0.86127,0.00386,0.00386,0.00386
26,13244.5,1.16461,0.55179,0.83911,0.75723,0.76539,0.79604,0.56172,1.23736,0.67164,0.86082,0.0038125,0.0038125,0.0038125
27,13743.5,1.15907,0.551,0.83919,0.76999,0.76509,0.79427,0.56152,1.2352,0.6699,0.86056,0.003765,0.003765,0.003765
28,14253.5,1.15271,0.54511,0.83777,0.72204,0.80252,0.79256,0.5608,1.23322,0.66902,0.86017,0.0037175,0.0037175,0.0037175
29,14763.4,1.1508,0.54446,0.83744,0.79073,0.75141,0.79254,0.56074,1.23283,0.66798,0.86019,0.00367,0.00367,0.00367
30,15274.4,1.14067,0.53965,0.8363,0.77349,0.75869,0.79207,0.55989,1.23165,0.66704,0.85997,0.0036225,0.0036225,0.0036225
31,15767.6,1.1366,0.53585,0.83529,0.77814,0.7551,0.79211,0.56028,1.23075,0.66656,0.85976,0.003575,0.003575,0.003575
32,16279.8,1.1323,0.5356,0.83479,0.77698,0.75506,0.7928,0.56095,1.22907,0.66557,0.85943,0.0035275,0.0035275,0.0035275
33,16794,1.13504,0.53482,0.83444,0.78228,0.74902,0.79426,0.56251,1.22736,0.66423,0.8593,0.00348,0.00348,0.00348
34,17306.6,1.13038,0.53246,0.83323,0.71868,0.79038,0.79474,0.5628,1.22621,0.66296,0.85915,0.0034325,0.0034325,0.0034325
35,17796.9,1.12387,0.52942,0.83263,0.71848,0.78781,0.79353,0.56179,1.2256,0.66216,0.85904,0.003385,0.003385,0.003385
36,18305.3,1.11597,0.52641,0.83228,0.72895,0.76788,0.79518,0.56194,1.22397,0.66117,0.85883,0.0033375,0.0033375,0.0033375
37,18815.8,1.11366,0.52493,0.83162,0.73086,0.76592,0.79462,0.56111,1.22243,0.65978,0.85856,0.00329,0.00329,0.00329
38,19325.7,1.11189,0.52415,0.83115,0.81898,0.70164,0.79641,0.56261,1.22191,0.65971,0.8584,0.0032425,0.0032425,0.0032425
39,19824,1.1093,0.52143,0.83034,0.81682,0.70284,0.796,0.56337,1.22094,0.65827,0.8583,0.003195,0.003195,0.003195
40,20331.4,1.10299,0.51967,0.83052,0.81656,0.70281,0.79463,0.56238,1.21989,0.65724,0.85813,0.0031475,0.0031475,0.0031475
41,20841.5,1.10081,0.51895,0.82966,0.81554,0.70285,0.79448,0.56242,1.21819,0.65609,0.85785,0.0031,0.0031,0.0031
42,21350.2,1.09555,0.51591,0.82919,0.73668,0.76634,0.79469,0.56226,1.21698,0.65485,0.85765,0.0030525,0.0030525,0.0030525
43,21849.9,1.09399,0.51478,0.82894,0.71471,0.77299,0.79374,0.56064,1.21658,0.65336,0.85755,0.003005,0.003005,0.003005
44,22364.2,1.09093,0.51297,0.82778,0.712,0.79044,0.7929,0.55952,1.21565,0.65287,0.8576,0.0029575,0.0029575,0.0029575
45,22874,1.08488,0.51043,0.82786,0.70306,0.79144,0.79155,0.55869,1.21499,0.65258,0.85742,0.00291,0.00291,0.00291
