epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1558.42,1.66629,0.99112,0.94908,0.65402,0.6386,0.64742,0.39579,1.60208,0.95934,0.9555,0.00999812,0.00333271,0.00999812,0.00333271,0.00999812,0.00333271,0.00999812,0.00333271
2,2646.48,1.5921,0.80264,0.91996,0.74885,0.64303,0.6523,0.39696,1.55831,0.93336,0.94748,0.0199321,0.00664404,0.0199321,0.00664404,0.0199321,0.00664404,0.0199321,0.00664404
3,3627.91,1.60232,0.82229,0.92712,0.67667,0.71527,0.70324,0.43105,1.557,0.92984,0.94803,0.0298001,0.00993338,0.0298001,0.00993338,0.0298001,0.00993338,0.0298001,0.00993338
4,4573.16,1.5587,0.79063,0.91545,0.76928,0.63931,0.67861,0.42172,1.47307,0.86487,0.93307,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,5519.08,1.46991,0.72559,0.89937,0.8148,0.66408,0.70537,0.45878,1.4342,0.83165,0.92403,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,6475.83,1.42252,0.69048,0.88895,0.78273,0.78355,0.77096,0.50904,1.40879,0.81122,0.91366,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,7445.57,1.38692,0.66496,0.8811,0.82517,0.8211,0.81656,0.55743,1.37356,0.77827,0.90611,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,8391.34,1.36381,0.65171,0.87603,0.80587,0.85041,0.83374,0.57582,1.33773,0.7543,0.89875,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,9343.7,1.34146,0.63461,0.87145,0.76807,0.80617,0.79386,0.54825,1.33172,0.7442,0.89619,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,10291,1.32455,0.62108,0.86782,0.79826,0.83943,0.81067,0.56538,1.30898,0.72651,0.89079,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,11238.8,1.31157,0.6147,0.86526,0.7163,0.83629,0.81427,0.56075,1.31011,0.72393,0.89072,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,12193.2,1.29515,0.60396,0.86231,0.78869,0.83422,0.80309,0.57187,1.29433,0.70569,0.88673,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
