epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.606,1.85646,0.80935,1.0393,0.55366,0.42949,0.45087,0.24696,1.73992,0.37761,1.03273,0.000999249,0.000999249,0.0910068
2,545.074,1.61468,0.40268,0.96743,0.74547,0.58542,0.58395,0.35155,1.6052,0.31929,0.99276,0.00199745,0.00199745,0.082005
3,818.257,1.53148,0.34626,0.94347,0.6565,0.53767,0.56613,0.34349,1.57308,0.30364,0.98286,0.00299385,0.00299385,0.0730014
4,1090.01,1.49175,0.32273,0.93147,0.73985,0.64466,0.67658,0.43345,1.5026,0.27788,0.97219,0.00398845,0.00398845,0.063996
5,1373.85,1.46707,0.30749,0.92634,0.81662,0.58801,0.64236,0.40065,1.50108,0.27806,0.96265,0.00498125,0.00498125,0.0549888
6,1643.77,1.41772,0.28484,0.91195,0.73555,0.63904,0.66875,0.42357,1.43476,0.25327,0.94283,0.00597225,0.00597225,0.0459798
7,1914.07,1.41647,0.28137,0.91146,0.73223,0.72187,0.73187,0.47199,1.40703,0.25099,0.93446,0.00696145,0.00696145,0.036969
8,2184.54,1.42156,0.28208,0.91173,0.68247,0.77839,0.73663,0.46931,1.40514,0.24758,0.93409,0.00794885,0.00794885,0.0279564
9,2455.34,1.4193,0.2817,0.9109,0.73638,0.69826,0.71297,0.45812,1.40048,0.2452,0.92973,0.00893445,0.00893445,0.018942
10,2716.14,1.41523,0.27974,0.91068,0.86076,0.64679,0.6649,0.4259,1.39953,0.25259,0.93022,0.00991826,0.00991826,0.00992576
11,2977.19,1.40306,0.27527,0.90501,0.74428,0.67335,0.69112,0.45023,1.38022,0.24542,0.91713,0.00991,0.00991,0.00991
12,3244.44,1.37354,0.26417,0.89567,0.75021,0.69147,0.70675,0.46894,1.35943,0.23807,0.90839,0.009901,0.009901,0.009901
13,3513.04,1.34949,0.25495,0.89078,0.74735,0.73638,0.7208,0.47956,1.34824,0.23223,0.90279,0.009892,0.009892,0.009892
14,3781.46,1.33593,0.25198,0.88545,0.71428,0.76088,0.72263,0.4808,1.33841,0.22722,0.89786,0.009883,0.009883,0.009883
15,4051.52,1.32021,0.2451,0.88215,0.72248,0.76988,0.73614,0.49505,1.33119,0.22387,0.8955,0.009874,0.009874,0.009874
16,4317.27,1.30331,0.24073,0.87808,0.73525,0.75161,0.74017,0.49893,1.32203,0.22192,0.89293,0.009865,0.009865,0.009865
17,4585.91,1.28911,0.23667,0.876,0.7553,0.75504,0.74688,0.49982,1.31981,0.21999,0.89077,0.009856,0.009856,0.009856
18,4852.08,1.28132,0.23465,0.87346,0.72331,0.75806,0.74867,0.50524,1.31493,0.21823,0.88875,0.009847,0.009847,0.009847
19,5121.96,1.27174,0.23159,0.87182,0.76976,0.72013,0.74245,0.49919,1.31289,0.21763,0.88769,0.009838,0.009838,0.009838
20,5373.2,1.2684,0.22958,0.87012,0.75905,0.74933,0.74304,0.50426,1.30967,0.21669,0.88659,0.009829,0.009829,0.009829
21,5640.03,1.25589,0.22769,0.86785,0.7741,0.74501,0.74607,0.50648,1.30625,0.21498,0.8854,0.00982,0.00982,0.00982
22,5909.5,1.25621,0.22878,0.86747,0.77491,0.74187,0.74749,0.50831,1.30318,0.21419,0.88447,0.009811,0.009811,0.009811
23,6178.67,1.24768,0.22566,0.86571,0.79632,0.73213,0.74575,0.50611,1.30152,0.21329,0.88389,0.009802,0.009802,0.009802
24,6441.73,1.24269,0.22381,0.86374,0.80155,0.75501,0.75078,0.51225,1.2994,0.21232,0.88311,0.009793,0.009793,0.009793
25,6710.15,1.24167,0.22236,0.86379,0.80022,0.75113,0.75336,0.51503,1.29686,0.21157,0.88242,0.009784,0.009784,0.009784
