epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,622.341,1.95714,1.62297,0.98918,0.62586,0.53964,0.53828,0.30534,1.7039,1.14376,0.96035,0.00999624,0.00333208,0.00999624,0.00333208,0.00999624,0.00333208,0.00999624,0.00333208
2,1054.85,1.80171,1.04496,0.93928,0.60821,0.55741,0.58069,0.33009,1.65617,1.11847,0.94355,0.0199303,0.00664342,0.0199303,0.00664342,0.0199303,0.00664342,0.0199303,0.00664342
3,1401.44,1.77532,0.98067,0.9343,0.62502,0.62253,0.5844,0.31932,1.68065,1.07938,0.96006,0.0297983,0.00993276,0.0297983,0.00993276,0.0297983,0.00993276,0.0297983,0.00993276
4,1724.92,1.71717,0.92939,0.92303,0.77456,0.63032,0.66288,0.39227,1.59655,1.00638,0.93003,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,2054.5,1.64393,0.86539,0.90824,0.67472,0.65862,0.63253,0.38079,1.53076,0.95317,0.91848,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,2382.78,1.59443,0.82969,0.90052,0.79536,0.62756,0.64523,0.38958,1.51237,0.94465,0.91368,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,2710.63,1.56672,0.80583,0.89345,0.77999,0.63523,0.70068,0.44984,1.49106,0.89201,0.90931,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,3048.36,1.54005,0.78675,0.8901,0.74956,0.77312,0.76421,0.50872,1.45647,0.85793,0.90341,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,3387.16,1.51803,0.7696,0.88507,0.7869,0.66394,0.72173,0.46782,1.44638,0.85148,0.89848,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,3723.26,1.49927,0.75821,0.88227,0.81177,0.66788,0.72298,0.47844,1.43682,0.83592,0.89635,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,4052.87,1.49325,0.75041,0.87997,0.78911,0.72911,0.78284,0.52454,1.41945,0.81608,0.89302,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,4382.13,1.4782,0.74189,0.87861,0.82398,0.68139,0.77558,0.5136,1.4211,0.81359,0.89249,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,4710.99,1.46793,0.73503,0.87539,0.70387,0.79407,0.80327,0.52907,1.41436,0.80984,0.88982,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,5041.45,1.45866,0.72854,0.87434,0.7495,0.78878,0.78455,0.52911,1.40066,0.79921,0.88846,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,5375.9,1.45401,0.72275,0.87293,0.73423,0.82435,0.80157,0.54406,1.39629,0.79715,0.88763,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,5718.64,1.44665,0.71728,0.87107,0.73941,0.80658,0.80485,0.54782,1.38739,0.79221,0.88563,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,6095.59,1.4414,0.71577,0.86993,0.71991,0.81937,0.80359,0.54692,1.38107,0.78943,0.88394,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,6484.84,1.43119,0.70869,0.86841,0.74437,0.83056,0.81164,0.54987,1.37511,0.78366,0.8829,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,6874.8,1.43346,0.70934,0.86965,0.70624,0.82701,0.80761,0.54804,1.37241,0.78117,0.88163,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,7265.68,1.42643,0.70541,0.86783,0.81437,0.77818,0.79884,0.54562,1.36964,0.77899,0.88112,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,7660.87,1.41477,0.69623,0.86596,0.79589,0.77827,0.79121,0.53892,1.36722,0.77678,0.88088,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,8063.93,1.41859,0.69965,0.86544,0.74509,0.79362,0.79005,0.5384,1.36691,0.77567,0.88087,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,8471.6,1.41203,0.69554,0.86408,0.80602,0.78108,0.79199,0.53892,1.36491,0.77437,0.88056,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,8873.69,1.40793,0.69348,0.86488,0.80849,0.77152,0.79417,0.54246,1.36307,0.77236,0.87997,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,9270.73,1.40744,0.69227,0.86393,0.8113,0.75365,0.79248,0.54063,1.36234,0.7702,0.87965,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,9672.27,1.40038,0.68797,0.86391,0.79119,0.77609,0.79358,0.54331,1.36122,0.76891,0.87959,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,10058.5,1.40369,0.68954,0.86372,0.77894,0.79917,0.79325,0.54343,1.35944,0.76791,0.87906,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,10447.9,1.39742,0.68537,0.86226,0.78005,0.7995,0.79372,0.54358,1.35898,0.76739,0.87868,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,10838.8,1.39571,0.68401,0.86236,0.77842,0.80022,0.80009,0.55092,1.35834,0.76636,0.87855,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,11233.8,1.3927,0.68159,0.86192,0.7568,0.80363,0.79972,0.55089,1.35644,0.76513,0.87847,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,11602.7,1.38669,0.68045,0.86105,0.75308,0.8049,0.80042,0.55169,1.3558,0.76376,0.87822,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,12001.4,1.38345,0.67897,0.86142,0.74891,0.80963,0.79835,0.55068,1.35479,0.7626,0.87783,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,12381.4,1.38248,0.67563,0.86065,0.74738,0.81153,0.79729,0.55016,1.35321,0.76242,0.87765,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,12744,1.38222,0.67784,0.86099,0.73596,0.82303,0.79916,0.55148,1.35193,0.7611,0.87732,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,13119.3,1.37625,0.67272,0.85947,0.73636,0.82218,0.79917,0.5521,1.35016,0.75971,0.87703,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,13467,1.37801,0.67363,0.85924,0.76115,0.80247,0.79706,0.55068,1.34922,0.75878,0.8767,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,13803.7,1.37095,0.66938,0.85841,0.73743,0.81774,0.7991,0.55197,1.34841,0.7578,0.87653,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,14138.8,1.37226,0.67106,0.85861,0.74888,0.82306,0.8002,0.55111,1.34748,0.75744,0.87623,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,14472.4,1.36509,0.66603,0.85737,0.74871,0.82331,0.80076,0.55217,1.34627,0.75617,0.87592,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,14807.3,1.36695,0.66779,0.85771,0.75303,0.81838,0.80178,0.55412,1.3445,0.75538,0.87578,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
