epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.505,1.74517,1.48178,0.99918,0.56325,0.51253,0.4994,0.28966,1.6325,1.07228,0.9537,0.00333083,0.00333083,0.0700225
2,451.06,1.50815,0.86969,0.92003,0.69597,0.59237,0.60198,0.36043,1.55934,1.0448,0.9361,0.00664417,0.00664417,0.0400025
3,665.184,1.47897,0.81931,0.91338,0.60698,0.54845,0.55337,0.31621,1.65494,1.16385,0.9577,0.00993751,0.00993751,0.00996254
4,881.698,1.43673,0.77502,0.90559,0.75205,0.58609,0.62507,0.37372,1.5296,0.92688,0.92893,0.00991,0.00991,0.00991
5,1099.48,1.35075,0.70481,0.88836,0.71186,0.64319,0.67483,0.42051,1.47094,0.88713,0.92084,0.00988,0.00988,0.00988
6,1312.71,1.297,0.6646,0.87773,0.72859,0.70085,0.71444,0.46102,1.44539,0.84275,0.90577,0.00985,0.00985,0.00985
7,1567.78,1.25907,0.63895,0.87041,0.7269,0.70957,0.72815,0.46658,1.40933,0.81541,0.89961,0.00982,0.00982,0.00982
8,1781.25,1.22885,0.618,0.86434,0.76589,0.77337,0.77013,0.50015,1.38063,0.79358,0.8944,0.00979,0.00979,0.00979
9,1988.96,1.20485,0.60267,0.86056,0.67848,0.77316,0.71926,0.46298,1.36692,0.78054,0.89259,0.00976,0.00976,0.00976
10,2186.7,1.18409,0.5903,0.85606,0.75242,0.74119,0.73948,0.47349,1.36849,0.77813,0.89201,0.00973,0.00973,0.00973
11,2391.79,1.16513,0.57814,0.85251,0.71353,0.76735,0.74346,0.47496,1.36647,0.76989,0.89312,0.0097,0.0097,0.0097
12,2605.41,1.15072,0.56989,0.84973,0.74401,0.66381,0.73534,0.47447,1.34847,0.75852,0.88849,0.00967,0.00967,0.00967
13,2823.26,1.13756,0.56233,0.84739,0.70388,0.75335,0.7392,0.4787,1.33969,0.75381,0.88803,0.00964,0.00964,0.00964
14,3032.04,1.12621,0.55523,0.84556,0.70518,0.79487,0.75458,0.48911,1.33283,0.74375,0.88556,0.00961,0.00961,0.00961
15,3240.76,1.11447,0.54894,0.84335,0.76042,0.76893,0.75277,0.48355,1.32672,0.74009,0.88504,0.00958,0.00958,0.00958
16,3450.32,1.10697,0.54484,0.84181,0.68375,0.76749,0.73259,0.47533,1.32335,0.73654,0.88515,0.00955,0.00955,0.00955
17,3660.37,1.09414,0.5383,0.84001,0.70922,0.78728,0.76233,0.49095,1.31906,0.7332,0.8852,0.00952,0.00952,0.00952
18,3870.58,1.08366,0.53293,0.83788,0.79934,0.76135,0.78327,0.5087,1.32125,0.73216,0.88587,0.00949,0.00949,0.00949
19,4080.64,1.07872,0.53015,0.83683,0.79014,0.74874,0.77451,0.50725,1.32114,0.73339,0.88592,0.00946,0.00946,0.00946
20,4292.5,1.07043,0.5251,0.83538,0.73409,0.78834,0.7645,0.5016,1.31562,0.73178,0.88496,0.00943,0.00943,0.00943
21,4506.64,1.06304,0.52223,0.83441,0.73219,0.79175,0.76669,0.50159,1.3154,0.72987,0.88505,0.0094,0.0094,0.0094
22,4723.59,1.05916,0.51897,0.83366,0.74809,0.78894,0.76791,0.4962,1.31372,0.72833,0.88518,0.00937,0.00937,0.00937
23,4934.45,1.0515,0.516,0.83216,0.7446,0.78675,0.76192,0.49002,1.3134,0.72855,0.88552,0.00934,0.00934,0.00934
24,5139.71,1.0445,0.51277,0.83092,0.73381,0.77269,0.75462,0.48947,1.31155,0.72658,0.88528,0.00931,0.00931,0.00931
25,5340.91,1.04216,0.51135,0.83084,0.71052,0.8068,0.75204,0.48752,1.3125,0.72615,0.8856,0.00928,0.00928,0.00928
26,5549.64,1.03434,0.50733,0.82972,0.70415,0.80937,0.74912,0.48571,1.31226,0.72562,0.88544,0.00925,0.00925,0.00925
27,5761.02,1.03031,0.50596,0.8288,0.69827,0.80999,0.75009,0.48728,1.31241,0.72562,0.88539,0.00922,0.00922,0.00922
28,5970.26,1.0255,0.50359,0.82831,0.69683,0.80389,0.74749,0.48591,1.31218,0.72546,0.88523,0.00919,0.00919,0.00919
29,6179.07,1.02304,0.50225,0.82782,0.70998,0.79228,0.75179,0.49008,1.3127,0.72627,0.88554,0.00916,0.00916,0.00916
30,6388.66,1.01847,0.49947,0.82703,0.68588,0.79642,0.74602,0.48759,1.31287,0.72557,0.88554,0.00913,0.00913,0.00913
31,6601.49,1.01694,0.49901,0.82655,0.68172,0.79761,0.74519,0.48665,1.31348,0.72611,0.88562,0.0091,0.0091,0.0091
32,6820.97,1.00928,0.4953,0.8259,0.68978,0.79369,0.74455,0.48645,1.31357,0.72615,0.88572,0.00907,0.00907,0.00907
33,7040.19,1.00502,0.49344,0.82492,0.69137,0.79421,0.74318,0.485,1.31263,0.72606,0.88588,0.00904,0.00904,0.00904
34,7259.17,1.00327,0.49269,0.82443,0.71294,0.77098,0.74033,0.48403,1.3127,0.72571,0.88574,0.00901,0.00901,0.00901
35,7478.87,1.00067,0.49182,0.82403,0.67411,0.8138,0.73953,0.48186,1.31254,0.72589,0.88582,0.00898,0.00898,0.00898
36,7688.27,0.99714,0.48938,0.82333,0.68343,0.7943,0.7411,0.48432,1.3117,0.72554,0.88592,0.00895,0.00895,0.00895
37,7889.93,0.99268,0.48785,0.82289,0.7506,0.72773,0.74073,0.48258,1.31135,0.72549,0.88595,0.00892,0.00892,0.00892
38,8091.81,0.99204,0.48733,0.8227,0.75413,0.7264,0.73934,0.48247,1.31131,0.72509,0.88599,0.00889,0.00889,0.00889
39,8292.68,0.98893,0.48576,0.822,0.75755,0.72419,0.73874,0.48241,1.31131,0.72471,0.8861,0.00886,0.00886,0.00886
40,8493.59,0.98442,0.48372,0.82151,0.7579,0.72258,0.73854,0.4819,1.31225,0.72422,0.88609,0.00883,0.00883,0.00883
41,8693.24,0.98385,0.48434,0.82174,0.68827,0.81188,0.74022,0.48262,1.31155,0.72487,0.88597,0.0088,0.0088,0.0088
42,8893.44,0.98244,0.48303,0.82127,0.6959,0.8119,0.74207,0.48354,1.31098,0.72343,0.88605,0.00877,0.00877,0.00877
43,9102.29,0.97872,0.48182,0.82062,0.69326,0.81276,0.74421,0.48761,1.31053,0.72257,0.88595,0.00874,0.00874,0.00874
44,9267.44,0.97584,0.4797,0.82011,0.69001,0.81357,0.74553,0.48602,1.31015,0.72232,0.88585,0.00871,0.00871,0.00871
45,9471.93,0.9725,0.47851,0.81962,0.68026,0.80022,0.74624,0.4866,1.30986,0.72172,0.88599,0.00868,0.00868,0.00868
46,9680.78,0.97272,0.47822,0.81947,0.68534,0.78448,0.74454,0.48312,1.31035,0.72237,0.88643,0.00865,0.00865,0.00865
47,9889.44,0.96935,0.47703,0.81929,0.73975,0.72753,0.74509,0.48407,1.3107,0.72151,0.88657,0.00862,0.00862,0.00862
48,10098.8,0.96678,0.47553,0.81878,0.73211,0.75515,0.74663,0.48434,1.31104,0.72192,0.8867,0.00859,0.00859,0.00859
