epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.47,1.89049,0.90366,1.04383,0.70751,0.47406,0.51102,0.2921,1.78374,0.46503,0.96796,0.000998182,0.000998182,0.0910164
2,744.247,1.67087,0.4576,0.97223,0.77494,0.58375,0.63389,0.36455,1.66598,0.36249,0.93339,0.0019802,0.0019802,0.0819984
3,1083.97,1.59063,0.38512,0.94627,0.81091,0.614,0.67098,0.3981,1.62868,0.33948,0.92597,0.00294421,0.00294421,0.0729624
4,1423.06,1.55335,0.35599,0.93648,0.816,0.6455,0.70227,0.417,1.5765,0.31823,0.90656,0.00389023,0.00389023,0.0639084
5,1765.75,1.52712,0.33202,0.9236,0.8096,0.63381,0.6979,0.41774,1.56421,0.3254,0.89859,0.00481825,0.00481825,0.0548364
6,2140.13,1.50803,0.31943,0.91248,0.83,0.66997,0.72657,0.43342,1.52112,0.29473,0.88574,0.00572826,0.00572826,0.0457464
7,2487.27,1.49398,0.31301,0.90713,0.85435,0.66427,0.72926,0.44033,1.51541,0.29538,0.8797,0.00662028,0.00662028,0.0366385
8,2820.51,1.4919,0.31057,0.90565,0.83604,0.66915,0.72753,0.4399,1.5467,0.30126,0.88718,0.0074943,0.0074943,0.0275125
9,3150.52,1.4865,0.30782,0.90295,0.85347,0.66139,0.73107,0.44192,1.51125,0.29422,0.87926,0.00835031,0.00835031,0.0183685
10,3522.21,1.49406,0.3087,0.90317,0.85585,0.68337,0.75191,0.45693,1.48217,0.30059,0.87602,0.00918833,0.00918833,0.00920651
11,3865.76,1.46699,0.29781,0.89956,0.85931,0.70845,0.76508,0.46837,1.45247,0.26887,0.86959,0.0091,0.0091,0.0091
12,4204.36,1.43277,0.28495,0.89155,0.87383,0.72009,0.7866,0.48842,1.41257,0.25528,0.86022,0.00901,0.00901,0.00901
13,4536.81,1.39889,0.27253,0.88473,0.88203,0.73503,0.79871,0.50318,1.36907,0.24335,0.85453,0.00892,0.00892,0.00892
14,4898.15,1.38215,0.26579,0.88105,0.88293,0.73983,0.80486,0.50949,1.34877,0.2353,0.85162,0.00883,0.00883,0.00883
15,5248.6,1.37156,0.26015,0.8766,0.8847,0.75488,0.81608,0.51895,1.33104,0.23043,0.84827,0.00874,0.00874,0.00874
16,5591.53,1.34981,0.25488,0.87436,0.88458,0.76042,0.81931,0.52346,1.31734,0.22693,0.84584,0.00865,0.00865,0.00865
17,5924.35,1.33451,0.24846,0.87144,0.88701,0.76494,0.824,0.52785,1.30427,0.22232,0.8437,0.00856,0.00856,0.00856
18,6279.02,1.32134,0.24619,0.86881,0.88979,0.76903,0.82871,0.53348,1.28843,0.21753,0.84168,0.00847,0.00847,0.00847
19,6644.73,1.31685,0.24257,0.86697,0.89133,0.77516,0.83074,0.53651,1.28298,0.21509,0.84045,0.00838,0.00838,0.00838
20,6984.97,1.30217,0.23971,0.86569,0.89759,0.77721,0.83421,0.54168,1.27447,0.2126,0.83922,0.00829,0.00829,0.00829
21,7317.93,1.29543,0.23635,0.86301,0.89722,0.77643,0.83559,0.54315,1.26543,0.21056,0.83749,0.0082,0.0082,0.0082
22,7659.86,1.28756,0.23565,0.86246,0.89775,0.78265,0.83842,0.54641,1.25905,0.20854,0.83654,0.00811,0.00811,0.00811
23,8033.48,1.28429,0.23516,0.86148,0.89892,0.78472,0.8403,0.55022,1.25289,0.20677,0.83571,0.00802,0.00802,0.00802
24,8371.02,1.27495,0.23037,0.85863,0.9012,0.78483,0.84098,0.55075,1.24752,0.20548,0.83507,0.00793,0.00793,0.00793
25,8713.9,1.26548,0.22852,0.8571,0.90222,0.7865,0.84432,0.55287,1.24507,0.20392,0.83439,0.00784,0.00784,0.00784
26,9043.75,1.26308,0.22838,0.85704,0.90242,0.7875,0.84547,0.55404,1.24113,0.2028,0.8338,0.00775,0.00775,0.00775
27,9426.14,1.2603,0.22615,0.85627,0.90093,0.79062,0.84676,0.55593,1.2373,0.20169,0.83325,0.00766,0.00766,0.00766
28,9763.12,1.25022,0.22472,0.85459,0.90151,0.79187,0.84667,0.55727,1.23371,0.20081,0.8326,0.00757,0.00757,0.00757
29,10101.5,1.24125,0.22181,0.85377,0.90254,0.79361,0.84911,0.55902,1.2304,0.20006,0.83209,0.00748,0.00748,0.00748
30,10434.2,1.23475,0.22113,0.85253,0.90267,0.79469,0.84983,0.56042,1.22814,0.19968,0.83173,0.00739,0.00739,0.00739
31,10812.6,1.23078,0.2201,0.85245,0.9041,0.79473,0.85021,0.56037,1.22593,0.19927,0.83129,0.0073,0.0073,0.0073
