epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.063,1.76496,1.49429,0.9903,0.73653,0.52988,0.59149,0.33325,1.7045,1.05493,0.9199,0.0033303,0.0033303,0.0700273
2,740.451,1.56864,0.9166,0.92293,0.83348,0.61138,0.68267,0.4048,1.5598,0.92852,0.89067,0.00664365,0.00664365,0.0400073
3,1101.28,1.54022,0.87379,0.91661,0.83011,0.54056,0.61409,0.36186,1.68181,1.1241,0.92412,0.00993699,0.00993699,0.00996729
4,1459.06,1.50757,0.83343,0.91156,0.84348,0.60854,0.67779,0.4121,1.56134,0.9434,0.89,0.00991,0.00991,0.00991
5,1814.9,1.41664,0.75166,0.89388,0.87506,0.63363,0.70617,0.43798,1.49762,0.87067,0.87861,0.00988,0.00988,0.00988
6,2172.45,1.35911,0.7055,0.88239,0.86637,0.64805,0.71546,0.44686,1.48233,0.85957,0.87768,0.00985,0.00985,0.00985
7,2532.06,1.31994,0.67614,0.87523,0.87073,0.65214,0.72696,0.46056,1.44725,0.83674,0.87209,0.00982,0.00982,0.00982
8,2887.94,1.28887,0.65348,0.86922,0.89751,0.64616,0.71641,0.46746,1.41823,0.85445,0.86549,0.00979,0.00979,0.00979
9,3244.25,1.26075,0.63526,0.86419,0.88409,0.65126,0.7154,0.46162,1.44278,0.83661,0.86714,0.00976,0.00976,0.00976
10,3598.06,1.24101,0.62179,0.86026,0.89185,0.65148,0.71524,0.47014,1.39068,0.83559,0.86194,0.00973,0.00973,0.00973
11,3937.64,1.21881,0.60823,0.85614,0.89087,0.65894,0.73032,0.47503,1.39962,0.77996,0.86322,0.0097,0.0097,0.0097
12,4262.91,1.20326,0.59882,0.85364,0.89206,0.66671,0.73537,0.48443,1.37299,0.78212,0.85685,0.00967,0.00967,0.00967
13,4548.15,1.18999,0.5908,0.85102,0.8922,0.6785,0.74495,0.48898,1.35866,0.76669,0.8552,0.00964,0.00964,0.00964
14,4902.59,1.17945,0.58407,0.84904,0.88209,0.67567,0.73623,0.48537,1.34621,0.77258,0.85412,0.00961,0.00961,0.00961
15,5260.69,1.16689,0.57659,0.84714,0.89173,0.682,0.7472,0.49281,1.33442,0.75333,0.85227,0.00958,0.00958,0.00958
16,5619.48,1.15482,0.57056,0.84488,0.89156,0.66884,0.73124,0.48875,1.33817,0.79362,0.85275,0.00955,0.00955,0.00955
17,5978.27,1.14345,0.56343,0.84258,0.8925,0.67385,0.73579,0.48996,1.33253,0.77521,0.85124,0.00952,0.00952,0.00952
18,6336.38,1.13524,0.55933,0.84102,0.89568,0.67538,0.74033,0.49257,1.33696,0.76875,0.852,0.00949,0.00949,0.00949
19,6693.47,1.12546,0.55393,0.8397,0.90187,0.67751,0.74255,0.4946,1.32828,0.75934,0.85084,0.00946,0.00946,0.00946
20,7052.02,1.1194,0.55092,0.83898,0.90374,0.6779,0.74294,0.49647,1.32647,0.75764,0.8507,0.00943,0.00943,0.00943
21,7405.9,1.11089,0.5473,0.83753,0.89727,0.68154,0.74702,0.49901,1.32404,0.75402,0.85036,0.0094,0.0094,0.0094
22,7759.68,1.10218,0.54265,0.83597,0.89628,0.68133,0.74682,0.49808,1.32255,0.75718,0.85005,0.00937,0.00937,0.00937
23,8113.02,1.09647,0.53948,0.83496,0.89624,0.68464,0.74616,0.4984,1.32199,0.75878,0.84963,0.00934,0.00934,0.00934
24,8454.86,1.08881,0.5354,0.83372,0.90266,0.68169,0.74542,0.49808,1.32052,0.75964,0.8494,0.00931,0.00931,0.00931
25,8785.91,1.08392,0.53245,0.8329,0.89778,0.68528,0.74663,0.5004,1.3148,0.75682,0.84862,0.00928,0.00928,0.00928
26,9090.72,1.07936,0.53001,0.83176,0.89928,0.68627,0.74738,0.50071,1.31256,0.7541,0.84847,0.00925,0.00925,0.00925
27,9443.9,1.0731,0.52768,0.83083,0.89713,0.68857,0.75023,0.50175,1.30883,0.75188,0.84796,0.00922,0.00922,0.00922
28,9801.66,1.06875,0.5251,0.83047,0.8992,0.68783,0.74931,0.50182,1.30785,0.75135,0.84783,0.00919,0.00919,0.00919
