epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,412.702,2.40258,2.52403,0.0033,0.6637,0.48194,0.51981,0.2736,2.07012,1.29851,0.00284,0.00998182,0.00332727,0.00998182,0.00332727,0.00998182,0.00332727,0.00998182,0.00332727
2,811.568,2.1923,1.3379,0.00268,0.76098,0.58961,0.6624,0.34911,2.00899,1.10386,0.00274,0.0198829,0.00662764,0.0198829,0.00662764,0.0198829,0.00662764,0.0198829,0.00662764
3,1213.87,2.15771,1.15318,0.00261,0.75657,0.57394,0.6332,0.3144,2.13327,1.35092,0.00292,0.029685,0.009895,0.029685,0.009895,0.029685,0.009895,0.029685,0.009895
4,1624.22,2.12737,1.09172,0.00256,0.77493,0.62436,0.69253,0.36671,2.01944,1.02813,0.00281,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2018.62,2.04875,1.00705,0.00244,0.8315,0.67619,0.74668,0.40694,1.94503,0.90389,0.00268,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2413.49,2.00332,0.9686,0.00234,0.85438,0.70529,0.7741,0.43373,1.86366,0.87469,0.00245,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2815.91,1.96237,0.92864,0.0023,0.82895,0.71728,0.77858,0.4446,1.82301,0.89392,0.00242,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3216.02,1.93775,0.90846,0.00225,0.85065,0.72649,0.79578,0.45284,1.79333,0.82679,0.00237,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3615.61,1.91019,0.88511,0.00221,0.85671,0.7345,0.79841,0.46383,1.78475,0.80508,0.00229,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4017.51,1.89732,0.8685,0.00217,0.86753,0.74933,0.81461,0.48235,1.72449,0.77905,0.00225,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
