epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.613,1.81504,1.29498,0.99924,0.78879,0.58643,0.65189,0.35274,1.70729,0.93589,0.91135,0.00166515,0.00166515,0.0683621
2,662.158,1.61087,0.84555,0.9177,0.86254,0.6746,0.74289,0.42477,1.54199,0.80336,0.8783,0.00330017,0.00330017,0.0366638
3,1133.22,1.57061,0.81015,0.90702,0.84855,0.6764,0.75111,0.42586,1.56148,0.84541,0.88083,0.00490351,0.00490351,0.00493382
4,1606.71,1.54694,0.79537,0.90203,0.8866,0.72084,0.78286,0.4617,1.48529,0.76158,0.86933,0.0048575,0.0048575,0.0048575
5,2025.34,1.48003,0.746,0.88987,0.88719,0.74239,0.80088,0.482,1.43772,0.71636,0.86202,0.00481,0.00481,0.00481
6,2487.35,1.44761,0.71851,0.88211,0.90085,0.76032,0.81725,0.49414,1.41237,0.69652,0.85648,0.0047625,0.0047625,0.0047625
7,2965.81,1.41943,0.69875,0.87707,0.90014,0.76618,0.82344,0.50465,1.38853,0.67635,0.85234,0.004715,0.004715,0.004715
8,3406.61,1.39523,0.68202,0.87355,0.9019,0.78103,0.83627,0.51588,1.35871,0.65737,0.84898,0.0046675,0.0046675,0.0046675
9,3870.62,1.37516,0.66739,0.86873,0.90249,0.78966,0.8429,0.52653,1.33978,0.64335,0.84509,0.00462,0.00462,0.00462
10,4349.52,1.35646,0.65675,0.86605,0.90956,0.79958,0.84931,0.53595,1.31287,0.62977,0.842,0.0045725,0.0045725,0.0045725
11,4785.06,1.34104,0.64692,0.86253,0.90717,0.80472,0.85383,0.53651,1.30612,0.62035,0.84086,0.004525,0.004525,0.004525
12,5245.4,1.3288,0.63907,0.86093,0.91891,0.80136,0.85701,0.5451,1.28082,0.60904,0.83675,0.0044775,0.0044775,0.0044775
13,5705.44,1.31661,0.62928,0.85863,0.91797,0.80949,0.8614,0.54851,1.26843,0.59976,0.83467,0.00443,0.00443,0.00443
14,6154.23,1.30617,0.62358,0.85617,0.92111,0.81417,0.86671,0.55501,1.2628,0.59217,0.83327,0.0043825,0.0043825,0.0043825
15,6587.25,1.29459,0.6166,0.85472,0.9227,0.81553,0.86852,0.55951,1.24699,0.58302,0.83132,0.004335,0.004335,0.004335
16,7055.89,1.29001,0.6121,0.85396,0.92141,0.81938,0.86935,0.56242,1.24448,0.58121,0.83098,0.0042875,0.0042875,0.0042875
17,7522.28,1.28104,0.60704,0.8518,0.92298,0.82247,0.87352,0.56629,1.23314,0.57505,0.82917,0.00424,0.00424,0.00424
18,7951.99,1.26607,0.60074,0.84995,0.9232,0.82547,0.87417,0.56966,1.22277,0.56808,0.82746,0.0041925,0.0041925,0.0041925
19,8425.38,1.26503,0.59799,0.84875,0.92448,0.82648,0.87532,0.57197,1.21682,0.56656,0.82698,0.004145,0.004145,0.004145
20,8901.04,1.25651,0.59282,0.84719,0.9267,0.82946,0.87787,0.57406,1.21199,0.5612,0.82609,0.0040975,0.0040975,0.0040975
21,9321,1.24515,0.58739,0.84658,0.92759,0.83088,0.87925,0.57583,1.20457,0.55745,0.82527,0.00405,0.00405,0.00405
22,9798.7,1.23958,0.58266,0.84552,0.92417,0.83474,0.88006,0.57887,1.20036,0.55495,0.82447,0.0040025,0.0040025,0.0040025
23,10273.4,1.23155,0.57872,0.84428,0.9246,0.83606,0.88194,0.58136,1.19477,0.55285,0.82362,0.003955,0.003955,0.003955
24,10701.3,1.22524,0.57514,0.84257,0.92744,0.83691,0.8831,0.58294,1.19139,0.5503,0.82293,0.0039075,0.0039075,0.0039075
25,11170.3,1.22399,0.57332,0.84208,0.92839,0.83743,0.88469,0.58451,1.18657,0.54805,0.82223,0.00386,0.00386,0.00386
26,11649,1.21166,0.56895,0.84212,0.92821,0.83875,0.88561,0.58584,1.18324,0.54637,0.8217,0.0038125,0.0038125,0.0038125
27,12080.7,1.20703,0.56509,0.84054,0.92921,0.83865,0.88606,0.58731,1.1795,0.5442,0.82128,0.003765,0.003765,0.003765
28,12547.8,1.20919,0.56718,0.83975,0.93079,0.83868,0.88624,0.5881,1.17563,0.54243,0.82081,0.0037175,0.0037175,0.0037175
29,13025.3,1.20338,0.56293,0.8394,0.9294,0.83998,0.88674,0.58954,1.17275,0.54064,0.82047,0.00367,0.00367,0.00367
30,13459.5,1.18965,0.55612,0.83834,0.92962,0.84075,0.88719,0.59025,1.17014,0.53913,0.82013,0.0036225,0.0036225,0.0036225
31,13925.4,1.1839,0.55342,0.83644,0.92964,0.84201,0.88795,0.59142,1.16856,0.53761,0.81978,0.003575,0.003575,0.003575
32,14395,1.18716,0.55409,0.83632,0.93032,0.84154,0.88818,0.592,1.16659,0.53653,0.81947,0.0035275,0.0035275,0.0035275
33,14834.4,1.18404,0.55187,0.83603,0.9326,0.8412,0.88834,0.59259,1.16487,0.53547,0.81926,0.00348,0.00348,0.00348
34,15289.3,1.17705,0.54908,0.83512,0.9331,0.84149,0.88893,0.59264,1.16342,0.53486,0.81907,0.0034325,0.0034325,0.0034325
35,15766.8,1.16846,0.54443,0.83393,0.93277,0.84273,0.88933,0.59317,1.16181,0.53381,0.81887,0.003385,0.003385,0.003385
36,16216.1,1.16616,0.54287,0.83391,0.93343,0.8427,0.88973,0.59402,1.16022,0.53307,0.81867,0.0033375,0.0033375,0.0033375
37,16660.7,1.16454,0.54288,0.83331,0.93328,0.84313,0.89007,0.59467,1.15902,0.53247,0.81849,0.00329,0.00329,0.00329
38,426.839,1.16611,0.5415,0.83348,0.93371,0.84265,0.89002,0.59469,1.15831,0.53202,0.81838,0.0032425,0.0032425,0.0032425
39,897.578,1.17374,0.54586,0.83411,0.93316,0.84321,0.89025,0.59487,1.15764,0.53157,0.81826,0.003195,0.003195,0.003195
40,1362.19,1.16838,0.54374,0.83361,0.93354,0.84339,0.8905,0.59505,1.15686,0.53118,0.81815,0.0031475,0.0031475,0.0031475
41,1789.47,1.16474,0.54187,0.8333,0.93283,0.84396,0.89096,0.59545,1.15573,0.53066,0.81798,0.0031,0.0031,0.0031
42,2264.37,1.15577,0.53796,0.83258,0.93365,0.84381,0.89109,0.59572,1.15501,0.53041,0.81783,0.0030525,0.0030525,0.0030525
43,2728.58,1.1572,0.53706,0.83158,0.93319,0.84462,0.89139,0.59604,1.15404,0.52979,0.81771,0.003005,0.003005,0.003005
44,3144.99,1.1529,0.53557,0.8311,0.93269,0.84494,0.89166,0.59645,1.15307,0.52915,0.8175,0.0029575,0.0029575,0.0029575
45,3604.76,1.14799,0.53276,0.83106,0.93336,0.84509,0.89183,0.59683,1.15155,0.52826,0.81728,0.00291,0.00291,0.00291
46,4079.05,1.14335,0.52983,0.82969,0.9333,0.84594,0.89228,0.59739,1.15046,0.52777,0.8171,0.0028625,0.0028625,0.0028625
47,4512.8,1.13872,0.52895,0.82948,0.93329,0.84628,0.89243,0.59769,1.14923,0.52692,0.81691,0.002815,0.002815,0.002815
48,4958.64,1.13369,0.52591,0.8282,0.93342,0.84683,0.89269,0.59809,1.148,0.5264,0.81677,0.0027675,0.0027675,0.0027675
