epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.466,1.91528,1.01302,1.04905,0.71868,0.47461,0.51911,0.29414,1.79021,0.5111,0.96726,0.000998182,0.000998182,0.0910164
2,603.597,1.69331,0.50215,0.97892,0.77962,0.59074,0.64065,0.36434,1.67574,0.41228,0.93262,0.00199638,0.00199638,0.0820146
3,871.567,1.60431,0.41856,0.94891,0.81559,0.63245,0.685,0.40273,1.62154,0.36685,0.92436,0.00299279,0.00299279,0.073011
4,1170.24,1.559,0.38573,0.93645,0.81903,0.6542,0.70941,0.42367,1.54644,0.34888,0.9054,0.00398739,0.00398739,0.0640056
5,1438.18,1.53344,0.36381,0.92874,0.83731,0.66695,0.72662,0.43446,1.54446,0.33055,0.90564,0.00498019,0.00498019,0.0549984
6,1717.74,1.50794,0.35017,0.92271,0.83694,0.68489,0.7411,0.44505,1.51925,0.32861,0.90338,0.00597119,0.00597119,0.0459894
7,2017.54,1.49379,0.34049,0.92036,0.84548,0.68179,0.74197,0.44539,1.51097,0.32244,0.90085,0.00696039,0.00696039,0.0369786
8,2280.89,1.48739,0.33677,0.91935,0.853,0.69279,0.75453,0.45634,1.48848,0.32339,0.89715,0.00794779,0.00794779,0.027966
9,2581.72,1.47675,0.33083,0.91603,0.85846,0.69574,0.75624,0.45482,1.51382,0.32555,0.89976,0.00893339,0.00893339,0.0189516
10,2846.29,1.48532,0.33059,0.91712,0.84572,0.71259,0.76769,0.46351,1.46029,0.30284,0.89197,0.0099172,0.0099172,0.00993538
11,3135.9,1.45275,0.31858,0.91059,0.86795,0.72876,0.78536,0.48214,1.41668,0.28494,0.87996,0.00991,0.00991,0.00991
12,3428.42,1.41984,0.30615,0.89997,0.8826,0.73954,0.80037,0.49694,1.39626,0.27425,0.87243,0.009901,0.009901,0.009901
13,3696.08,1.38591,0.29405,0.89242,0.88538,0.75064,0.80791,0.50845,1.36335,0.26723,0.86352,0.009892,0.009892,0.009892
14,3995.63,1.37035,0.28767,0.88718,0.88536,0.76021,0.81602,0.51569,1.33582,0.2545,0.85804,0.009883,0.009883,0.009883
15,4263.13,1.36136,0.28191,0.88258,0.89326,0.76667,0.82184,0.52134,1.3185,0.25063,0.85442,0.009874,0.009874,0.009874
16,4560.11,1.34129,0.277,0.88017,0.8992,0.77168,0.82844,0.52977,1.30832,0.24633,0.8512,0.009865,0.009865,0.009865
17,4829.22,1.32626,0.2709,0.87699,0.8963,0.77585,0.83093,0.53518,1.29406,0.24284,0.84815,0.009856,0.009856,0.009856
18,5109.76,1.31634,0.26858,0.87405,0.89819,0.78308,0.83645,0.53789,1.2825,0.23876,0.84599,0.009847,0.009847,0.009847
19,5410.38,1.3113,0.26534,0.87182,0.90437,0.78389,0.83895,0.54295,1.27243,0.23602,0.84424,0.009838,0.009838,0.009838
20,5674.89,1.29787,0.26285,0.87047,0.90915,0.78452,0.84195,0.54474,1.26594,0.23423,0.84326,0.009829,0.009829,0.009829
21,5976.59,1.29139,0.25949,0.86807,0.90437,0.79267,0.84321,0.54702,1.25949,0.23229,0.84182,0.00982,0.00982,0.00982
22,6242.34,1.28468,0.25924,0.86737,0.9055,0.79393,0.84564,0.54928,1.25385,0.23036,0.84046,0.009811,0.009811,0.009811
23,6530.47,1.28316,0.25912,0.86635,0.90777,0.79336,0.84623,0.55199,1.24786,0.22875,0.83908,0.009802,0.009802,0.009802
24,6818.02,1.27589,0.25445,0.86402,0.90824,0.79384,0.84755,0.55294,1.24398,0.22778,0.83844,0.009793,0.009793,0.009793
25,7087.93,1.26755,0.25326,0.86232,0.90811,0.7966,0.84991,0.55509,1.2401,0.22657,0.83731,0.009784,0.009784,0.009784
26,7387.15,1.26462,0.25303,0.86197,0.91062,0.79687,0.85028,0.55647,1.23511,0.22551,0.83643,0.009775,0.009775,0.009775
