epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,469.12,2.007,1.6905,0.9941,0.78481,0.56745,0.62923,0.32635,1.7696,1.06089,0.92104,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182
2,815.902,1.86962,1.09847,0.94532,0.82337,0.61752,0.69123,0.37446,1.7161,0.96214,0.91112,0.0199295,0.00664316,0.0199295,0.00664316,0.0199295,0.00664316,0.0199295,0.00664316
3,1116.52,1.84168,1.02441,0.9388,0.82903,0.64474,0.70683,0.38312,1.7003,0.98598,0.90951,0.0297975,0.00993249,0.0297975,0.00993249,0.0297975,0.00993249,0.0297975,0.00993249
4,1399.82,1.79054,0.97652,0.93036,0.83514,0.66412,0.72914,0.40626,1.6114,0.8852,0.89226,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1684.74,1.69771,0.89724,0.91428,0.84681,0.69,0.75453,0.43084,1.56325,0.82741,0.88324,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1969.71,1.65659,0.86061,0.9037,0.86565,0.715,0.77929,0.45669,1.5095,0.79583,0.87507,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,2257.37,1.62177,0.83356,0.89811,0.88424,0.72051,0.78755,0.46811,1.47507,0.76564,0.86881,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,2558.67,1.60086,0.81626,0.89077,0.88747,0.73438,0.7972,0.47445,1.44394,0.74441,0.86346,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,2854.85,1.57695,0.79926,0.88873,0.88196,0.74157,0.80308,0.48418,1.42726,0.73053,0.85987,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,3144.19,1.55659,0.78629,0.88497,0.87685,0.74932,0.80952,0.4901,1.41129,0.71786,0.85684,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
