epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.861,1.8075,1.66014,1.00592,0.72268,0.51773,0.5739,0.31124,1.78359,1.08555,0.93309,0.00332727,0.00332727,0.0700545
2,581.209,1.58521,0.94647,0.92624,0.76527,0.61614,0.67141,0.38355,1.64976,0.99264,0.90646,0.00664062,0.00664062,0.0400346
3,887.773,1.54236,0.87321,0.9167,0.81382,0.59034,0.65325,0.37437,1.68336,1.08384,0.91395,0.00993398,0.00993398,0.00999458
4,1156.48,1.48377,0.80543,0.90719,0.87728,0.62841,0.6866,0.41352,1.60066,0.92411,0.8947,0.00991,0.00991,0.00991
5,1447.81,1.39231,0.72512,0.88918,0.88596,0.64589,0.71348,0.44785,1.49768,0.87145,0.87665,0.00988,0.00988,0.00988
6,1753.68,1.33258,0.67962,0.87716,0.87794,0.68505,0.74785,0.46662,1.45166,0.8055,0.86991,0.00985,0.00985,0.00985
7,2023.74,1.28901,0.64977,0.86857,0.88453,0.66487,0.73027,0.46072,1.47116,0.818,0.86949,0.00982,0.00982,0.00982
8,2328.68,1.25563,0.62777,0.86267,0.89259,0.67526,0.74615,0.47608,1.43014,0.78269,0.86449,0.00979,0.00979,0.00979
9,2595.56,1.22951,0.61141,0.85814,0.88728,0.66762,0.73276,0.47457,1.41298,0.80621,0.86207,0.00976,0.00976,0.00976
10,2887.66,1.20762,0.59752,0.85384,0.89632,0.68652,0.74738,0.48026,1.40724,0.7673,0.86126,0.00973,0.00973,0.00973
11,3187.24,1.18635,0.58458,0.85026,0.89911,0.69073,0.75242,0.48946,1.3827,0.75979,0.85537,0.0097,0.0097,0.0097
12,3457.64,1.17336,0.57704,0.84776,0.89467,0.69236,0.75066,0.49068,1.38119,0.76071,0.85719,0.00967,0.00967,0.00967
13,3765.12,1.15674,0.56687,0.84507,0.89943,0.69099,0.74857,0.49123,1.37102,0.75748,0.85448,0.00964,0.00964,0.00964
14,4037.08,1.14594,0.56121,0.84272,0.90123,0.6899,0.74588,0.49226,1.36109,0.75568,0.8532,0.00961,0.00961,0.00961
15,4328.27,1.13051,0.55275,0.84075,0.90108,0.6932,0.75208,0.49656,1.34515,0.75579,0.85133,0.00958,0.00958,0.00958
16,4628.28,1.11804,0.54636,0.83817,0.90462,0.69505,0.7512,0.49643,1.36226,0.75543,0.85422,0.00955,0.00955,0.00955
17,4897.5,1.10747,0.54015,0.8363,0.89877,0.69576,0.75515,0.50163,1.33025,0.74917,0.84863,0.00952,0.00952,0.00952
18,5202.68,1.09725,0.53515,0.83456,0.9032,0.69446,0.75295,0.49798,1.34282,0.73928,0.85134,0.00949,0.00949,0.00949
19,5477.11,1.08877,0.53046,0.83318,0.90749,0.7018,0.76092,0.50552,1.32715,0.72933,0.84873,0.00946,0.00946,0.00946
20,5772.6,1.08076,0.52652,0.83208,0.89617,0.70433,0.7568,0.50408,1.32751,0.73736,0.84944,0.00943,0.00943,0.00943
21,6068.42,1.07309,0.52328,0.83057,0.89821,0.69996,0.75586,0.50431,1.32897,0.73886,0.84944,0.0094,0.0094,0.0094
22,6339.72,1.0663,0.51849,0.8294,0.9028,0.69813,0.75541,0.50455,1.323,0.7381,0.84872,0.00937,0.00937,0.00937
23,6643.81,1.05763,0.51512,0.82825,0.90107,0.70046,0.75573,0.50312,1.32466,0.73857,0.84891,0.00934,0.00934,0.00934
24,6915.97,1.04949,0.51066,0.8268,0.90089,0.70365,0.75734,0.50406,1.32204,0.73961,0.8482,0.00931,0.00931,0.00931
25,7214.75,1.04491,0.50878,0.82612,0.90071,0.70601,0.75901,0.50541,1.32171,0.73686,0.84847,0.00928,0.00928,0.00928
26,7500.79,1.04069,0.50657,0.82518,0.89923,0.70671,0.7606,0.50652,1.31678,0.73691,0.84763,0.00925,0.00925,0.00925
27,7776.29,1.03118,0.50187,0.82411,0.89608,0.70977,0.76094,0.50678,1.31566,0.7372,0.84773,0.00922,0.00922,0.00922
28,8085.96,1.02762,0.50028,0.82331,0.89713,0.71023,0.76093,0.50686,1.31599,0.7373,0.84764,0.00919,0.00919,0.00919
29,8357.61,1.0212,0.49771,0.82231,0.90052,0.7089,0.76089,0.50694,1.31453,0.73585,0.84766,0.00916,0.00916,0.00916
30,8654.7,1.0192,0.4958,0.82187,0.9003,0.70893,0.76107,0.50673,1.31443,0.73354,0.84756,0.00913,0.00913,0.00913
31,8951.04,1.01338,0.49388,0.82113,0.90013,0.70854,0.76099,0.50711,1.31422,0.73255,0.84777,0.0091,0.0091,0.0091
32,9223.69,1.01017,0.49258,0.82071,0.89768,0.70974,0.7611,0.50734,1.31394,0.73233,0.84788,0.00907,0.00907,0.00907
33,9529.19,1.0045,0.48936,0.81964,0.89732,0.71027,0.76084,0.50709,1.31398,0.7324,0.84795,0.00904,0.00904,0.00904
34,9800.35,1.00295,0.48925,0.81949,0.89743,0.71024,0.76168,0.50729,1.31445,0.73195,0.84804,0.00901,0.00901,0.00901
35,10097.9,0.99694,0.48656,0.81882,0.89805,0.7097,0.76174,0.50703,1.31445,0.73173,0.84818,0.00898,0.00898,0.00898
36,10386.4,0.99083,0.48344,0.818,0.90141,0.70764,0.76165,0.50707,1.31459,0.73179,0.84835,0.00895,0.00895,0.00895
37,10660.9,0.98931,0.48286,0.81752,0.90133,0.70777,0.76146,0.50744,1.31497,0.73133,0.84838,0.00892,0.00892,0.00892
38,10963.9,0.98485,0.48072,0.81689,0.90165,0.7075,0.76131,0.50766,1.31546,0.732,0.84849,0.00889,0.00889,0.00889
39,11232.5,0.98142,0.47936,0.81638,0.90245,0.70801,0.76149,0.50743,1.31536,0.73182,0.84861,0.00886,0.00886,0.00886
40,11536.5,0.97789,0.4771,0.81583,0.90161,0.70886,0.76076,0.50703,1.31576,0.73217,0.84872,0.00883,0.00883,0.00883
41,11805,0.97325,0.47567,0.81511,0.90001,0.71039,0.76086,0.50682,1.31576,0.73281,0.84883,0.0088,0.0088,0.0088
42,12090.6,0.9733,0.47641,0.8151,0.8996,0.71038,0.76048,0.50698,1.31539,0.73291,0.84893,0.00877,0.00877,0.00877
43,12394.8,0.97254,0.47578,0.81498,0.90087,0.71038,0.76083,0.50675,1.31573,0.73329,0.84908,0.00874,0.00874,0.00874
44,12662.5,0.96679,0.47266,0.81415,0.90089,0.71081,0.76075,0.50681,1.31622,0.73376,0.84923,0.00871,0.00871,0.00871
45,12968.2,0.96502,0.47173,0.81386,0.90053,0.71139,0.76068,0.50683,1.31616,0.73382,0.8493,0.00868,0.00868,0.00868
46,13237.4,0.96414,0.47137,0.81345,0.90064,0.71131,0.76048,0.50638,1.31672,0.73467,0.84948,0.00865,0.00865,0.00865
47,13529.2,0.95955,0.46977,0.81304,0.90249,0.71039,0.76058,0.50626,1.3173,0.73535,0.84962,0.00862,0.00862,0.00862
48,13829.2,0.95682,0.46806,0.81255,0.90207,0.70988,0.76039,0.50595,1.31704,0.73638,0.84958,0.00859,0.00859,0.00859
49,14097.8,0.95328,0.46653,0.81218,0.90157,0.70993,0.76008,0.50599,1.31678,0.7369,0.84956,0.00856,0.00856,0.00856
50,14407.5,0.95283,0.46664,0.81228,0.90251,0.70977,0.75989,0.50585,1.3168,0.73739,0.84959,0.00853,0.00853,0.00853
51,14681,0.94993,0.4652,0.81186,0.90221,0.70962,0.75988,0.50592,1.31671,0.73786,0.84962,0.0085,0.0085,0.0085
52,14972.8,0.94832,0.46468,0.81145,0.90301,0.70964,0.75971,0.50583,1.31674,0.73871,0.84962,0.00847,0.00847,0.00847
53,15279.6,0.94573,0.46342,0.81104,0.90338,0.70961,0.7595,0.50547,1.31717,0.73926,0.8497,0.00844,0.00844,0.00844
54,15549.2,0.94475,0.46319,0.81081,0.90303,0.70922,0.75921,0.5054,1.31762,0.73988,0.8498,0.00841,0.00841,0.00841
55,15854,0.94257,0.46197,0.81068,0.90381,0.70925,0.75847,0.50513,1.31778,0.74063,0.84987,0.00838,0.00838,0.00838
56,16122.8,0.93931,0.46072,0.81021,0.90456,0.70854,0.75814,0.50504,1.31789,0.74172,0.84984,0.00835,0.00835,0.00835
57,16410,0.93609,0.45917,0.80975,0.90446,0.70872,0.75806,0.50452,1.31842,0.7433,0.84986,0.00832,0.00832,0.00832
58,16714.3,0.93609,0.45906,0.80995,0.90443,0.70882,0.75769,0.50419,1.31865,0.74427,0.84996,0.00829,0.00829,0.00829
59,16982.3,0.93402,0.45813,0.80973,0.90474,0.7081,0.75731,0.50383,1.31877,0.74465,0.85003,0.00826,0.00826,0.00826
60,17286.7,0.93273,0.4574,0.80909,0.9072,0.70678,0.75712,0.50329,1.31881,0.74567,0.85004,0.00823,0.00823,0.00823
61,17557.6,0.93009,0.45688,0.8092,0.90788,0.70606,0.75695,0.50315,1.31895,0.74594,0.85001,0.0082,0.0082,0.0082
62,17854,0.92824,0.45591,0.80863,0.90717,0.70569,0.75524,0.50262,1.31963,0.74674,0.85014,0.00817,0.00817,0.00817
63,18155,0.92606,0.45418,0.80836,0.90725,0.70527,0.75506,0.50253,1.31968,0.74726,0.85024,0.00814,0.00814,0.00814
64,18426.9,0.924,0.45405,0.80804,0.90722,0.70468,0.75507,0.50217,1.32027,0.74843,0.85034,0.00811,0.00811,0.00811
65,18731.5,0.92352,0.45338,0.80799,0.90756,0.70469,0.75489,0.50178,1.32102,0.74994,0.85046,0.00808,0.00808,0.00808
66,19001.2,0.92283,0.45275,0.80781,0.90711,0.70453,0.75479,0.50171,1.32139,0.75088,0.85053,0.00805,0.00805,0.00805
67,19297.8,0.92051,0.45172,0.80759,0.9052,0.70523,0.75491,0.50174,1.32103,0.75174,0.85062,0.00802,0.00802,0.00802
68,19590.3,0.91764,0.45099,0.80726,0.90177,0.70667,0.75418,0.50148,1.32092,0.75284,0.85077,0.00799,0.00799,0.00799
