epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,499.178,1.4888,0.78439,0.89722,0.70762,0.63576,0.65721,0.38621,1.52645,0.96545,0.91551,0.000476244,0.000476244,0.000476244
2,953.444,1.51299,0.79459,0.90555,0.84487,0.6308,0.68852,0.42973,1.51247,0.93614,0.91279,0.000858272,0.000858272,0.000858272
3,1411.7,1.49618,0.77855,0.90078,0.75903,0.65249,0.66931,0.40646,1.46141,0.89775,0.90252,0.00114599,0.00114599,0.00114599
4,1867.34,1.45885,0.74288,0.89277,0.72212,0.73431,0.73247,0.47177,1.42562,0.85085,0.89591,0.00100459,0.00100459,0.00100459
5,2323.21,1.41906,0.71023,0.8855,0.66479,0.79347,0.74206,0.47928,1.40111,0.82608,0.88985,0.000863116,0.000863116,0.000863116
6,2785.65,1.38,0.68083,0.87621,0.7332,0.77677,0.76519,0.50243,1.37184,0.79593,0.88404,0.000721645,0.000721645,0.000721645
7,3243.52,1.34435,0.65604,0.86991,0.80867,0.77474,0.79765,0.53332,1.35548,0.78861,0.8773,0.000580174,0.000580174,0.000580174
8,3711.36,1.31488,0.63369,0.86508,0.74613,0.81382,0.78903,0.52433,1.33976,0.76405,0.87371,0.000438703,0.000438703,0.000438703
9,4162.63,1.28125,0.61036,0.85892,0.72135,0.81678,0.79535,0.53563,1.33208,0.75787,0.87275,0.000297232,0.000297232,0.000297232
10,4610.91,1.2474,0.59127,0.85336,0.76673,0.78228,0.81387,0.55638,1.31583,0.73741,0.86916,0.000155761,0.000155761,0.000155761
